ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
gand;;1:10-cv-02371,gand,2010,1:10-cv-02371,4,09/13/2010,"to State Court, to District Judge Robert L. Vining, Jr. (bjh) (Entered: 09",33,107,"to State Court, to District Judge","Robert L. Vining, Jr.",(bjh) (Entered: 09,67,88,line_entry,SPACY JNLP2
gand;;1:10-cv-02371,gand,2010,1:10-cv-02371,5,09/13/2010,"specified time period. Signed by Judge Robert L. Vining, Jr. on 9/13/2010.",283,357,specified time period. Signed by Judge,"Robert L. Vining, Jr.",on 9/13/2010.,322,343,line_entry,SPACY JNLP2
gand;;1:10-cv-02371,gand,2010,1:10-cv-02371,7,09/17/2010,"to State Court. Signed by Judge Robert L. Vining, Jr on 9/17/2010.",33,99,to State Court. Signed by Judge,"Robert L. Vining, Jr",on 9/17/2010.,65,85,line_entry,SPACY JNLP2
gand;;1:10-cv-02371,gand,2010,1:10-cv-02371,9,09/27/2010,"5 Order, submitted to District Judge Robert L. Vining. (dob) (Entered:",14,84,"5 Order, submitted to District Judge",Robert L. Vining,. (dob) (Entered:,51,67,line_entry,SPACY JNLP2
gand;;1:10-cv-02371,gand,2010,1:10-cv-02371,10,09/27/2010,"and Discovery Plan. Signed by Judge Robert L. Vining, Jr on 9/27/2010.",49,119,and Discovery Plan. Signed by Judge,"Robert L. Vining, Jr",on 9/27/2010.,85,105,line_entry,SPACY JNLP2
gand;;1:16-cv-03123,gand,2016,1:16-cv-03123,7,10/25/2016,"/2016. Signed by Magistrate Judge John K Larkins, III on 10/25/2016.",197,265,/2016. Signed by Magistrate Judge,"John K Larkins, III",on 10/25/2016.,231,250,line_entry,SPACY JNLP2
gand;;1:16-cv-03123,gand,2016,1:16-cv-03123,12,10/26/2016,"/2016. Signed by Magistrate Judge John K Larkins, III on 10/26/2016.",151,219,/2016. Signed by Magistrate Judge,"John K Larkins, III",on 10/26/2016.,185,204,line_entry,SPACY JNLP2
gand;;1:16-cv-03123,gand,2016,1:16-cv-03123,14,10/28/2016,"/2016. Signed by Magistrate Judge John K Larkins, III on 10/28/2016.",151,219,/2016. Signed by Magistrate Judge,"John K Larkins, III",on 10/28/2016.,185,204,line_entry,SPACY JNLP2
gand;;1:16-cv-03123,gand,2016,1:16-cv-03123,18,11/08/2016,"/2016. Signed by Magistrate Judge John K Larkins, III on 11/8/2016.",199,266,/2016. Signed by Magistrate Judge,"John K Larkins, III",on 11/8/2016.,233,252,line_entry,SPACY JNLP2
gand;;1:16-cv-03123,gand,2016,1:16-cv-03123,22,11/23/2016,", 2016. Signed by Magistrate Judge John K Larkins, III on 11/23/16.",121,188,", 2016. Signed by Magistrate Judge","John K Larkins, III",on 11/23/16.,156,175,line_entry,SPACY JNLP2
gand;;1:16-cv-03123,gand,2016,1:16-cv-03123,24,11/29/2016,", 2016. Signed by Magistrate Judge John K Larkins, III on 11/29/2016.",143,212,", 2016. Signed by Magistrate Judge","John K Larkins, III",on 11/29/2016.,178,197,line_entry,SPACY JNLP2
gand;;1:16-cv-03123,gand,2016,1:16-cv-03123,26,12/07/2016,", 2016. Signed by Magistrate Judge John K Larkins, III on 12/7/2016.",137,205,", 2016. Signed by Magistrate Judge","John K Larkins, III",on 12/7/2016.,172,191,line_entry,SPACY JNLP2
gand;;1:16-cv-03123,gand,2016,1:16-cv-03123,27,12/13/2016,"done so. Signed by Magistrate Judge John K Larkins, III on 12/13/2016.",192,262,done so. Signed by Magistrate Judge,"John K Larkins, III",on 12/13/2016.,228,247,line_entry,SPACY JNLP2
gand;;1:16-cv-03123,gand,2016,1:16-cv-03123,34,12/29/2016,dismissed with prejudice. Signed by Judge Steve C Jones on 12/29/2016.,349,419,dismissed with prejudice. Signed by Judge,Steve C Jones,on 12/29/2016.,391,404,line_entry,SPACY JNLP2
gand;;1:16-cv-03123,gand,2016,1:16-cv-03123,35,12/29/2016,"Civil Case Terminated. Magistrate Judge John K Larkins, III terminated from case. (rjs)",0,87,Civil Case Terminated. Magistrate Judge,"John K Larkins, III",terminated from case. (rjs),40,59,line_entry,SPACY JNLP2
gand;;1:16-cv-01762,gand,2016,1:16-cv-01762,1,06/02/2016,Of Filing: Standing Order by Judge Richard W. Story. (rag) (Entered:,13,81,Of Filing: Standing Order by Judge,Richard W. Story,. (rag) (Entered:,48,64,line_entry,SPACY JNLP2
gand;;1:16-cv-01762,gand,2016,1:16-cv-01762,14,09/29/2016,to Dismiss. Submitted to District Judge Richard W. Story. (bdb) (Entered:,104,177,to Dismiss. Submitted to District Judge,Richard W. Story,. (bdb) (Entered:,144,160,line_entry,SPACY JNLP2
gand;;1:16-cv-01762,gand,2016,1:16-cv-01762,15,10/04/2016,DISMISSED without prejudice. Signed by Judge Richard W. Story on 10/4/2016.,159,234,DISMISSED without prejudice. Signed by Judge,Richard W. Story,on 10/4/2016.,204,220,line_entry,SPACY JNLP2
gand;;1:16-cv-01762,gand,2016,1:16-cv-01762,16,10/24/2016,Amended Complaint. Submitted to District Judge Richard W. Story. (bdb) (Entered:,53,133,Amended Complaint. Submitted to District Judge,Richard W. Story,. (bdb) (Entered:,100,116,line_entry,SPACY JNLP2
gand;;1:16-cv-01762,gand,2016,1:16-cv-01762,17,11/10/2016,First Amended Complaint. Signed by Judge Richard W. Story on 11/10/2016.,89,161,First Amended Complaint. Signed by Judge,Richard W. Story,on 11/10/2016.,130,146,line_entry,SPACY JNLP2
gand;;1:16-cv-01762,gand,2016,1:16-cv-01762,36,05/16/2017,of this order. Signed by Judge Richard W. Story on 5/16/2017.,256,317,of this order. Signed by Judge,Richard W. Story,on 5/16/2017.,287,303,line_entry,SPACY JNLP2
gand;;3:10-cv-00010,gand,2010,3:10-cv-00010,9,03/02/2010,unless ready sooner. Signed by Judge Jack T. Camp on 3/2/10.,278,338,unless ready sooner. Signed by Judge,Jack T. Camp,on 3/2/10.,315,327,line_entry,SPACY JNLP2
gand;;3:10-cv-00010,gand,2010,3:10-cv-00010,12,03/04/2010,"' Complaint, submitted to District Judge Jack T. Camp. (rsh) (Entered:",44,114,"' Complaint, submitted to District Judge",Jack T. Camp,. (rsh) (Entered:,85,97,line_entry,SPACY JNLP2
gand;;3:10-cv-00010,gand,2010,3:10-cv-00010,13,07/08/2010,to close case. Signed by Judge Jack T. Camp on 7/8/10.,133,187,to close case. Signed by Judge,Jack T. Camp,on 7/8/10.,164,176,line_entry,SPACY JNLP2
gand;;1:15-cv-03584,gand,2015,1:15-cv-03584,2,10/13/2015,REGARDING CIVIL LITIGATION. Signed by Judge Mark H. Cohen on 10/13/15.,15,85,REGARDING CIVIL LITIGATION. Signed by Judge,Mark H. Cohen,on 10/13/15.,59,72,line_entry,SPACY JNLP2
gand;;1:15-cv-03584,gand,2015,1:15-cv-03584,5,10/21/2015,of the Court. Approved by Judge Mark H. Cohen on 10/21/15.,106,164,of the Court. Approved by Judge,Mark H. Cohen,on 10/21/15.,138,151,line_entry,SPACY JNLP2
gand;;1:15-cv-03584,gand,2015,1:15-cv-03584,28,01/14/2016,expert discovery period. Signed by Judge Mark H. Cohen on 1/14/16.,759,825,expert discovery period. Signed by Judge,Mark H. Cohen,on 1/14/16.,800,813,line_entry,SPACY JNLP2
gand;;1:15-cv-03584,gand,2015,1:15-cv-03584,31,01/15/2016,"A CLAIM , submitted to District Judge Mark H. Cohen. (jpa) (Entered:",185,253,"A CLAIM , submitted to District Judge",Mark H. Cohen,. (jpa) (Entered:,223,236,line_entry,SPACY JNLP2
gand;;1:15-cv-03584,gand,2015,1:15-cv-03584,34,04/29/2016,with this case. Signed by Judge Mark H. Cohen on 04/29/16.,1459,1517,with this case. Signed by Judge,Mark H. Cohen,on 04/29/16.,1491,1504,line_entry,SPACY JNLP2
gand;;1:15-cv-03584,gand,2015,1:15-cv-03584,35,04/29/2016,with this case. Signed by Judge Mark H. Cohen on 04/29/16.,151,209,with this case. Signed by Judge,Mark H. Cohen,on 04/29/16.,183,196,line_entry,SPACY JNLP2
gand;;1:15-cv-03584,gand,2015,1:15-cv-03584,40,05/18/2016,"34 Stipulation, submitted to District Judge Mark H. Cohen. (jpa) (Entered:",35,109,"34 Stipulation, submitted to District Judge",Mark H. Cohen,. (jpa) (Entered:,79,92,line_entry,SPACY JNLP2
gand;;1:15-cv-03584,gand,2015,1:15-cv-03584,42,05/25/2016,DENIED AS MOOT. Signed by Judge Mark H. Cohen on 5/25/16.,1104,1161,DENIED AS MOOT. Signed by Judge,Mark H. Cohen,on 5/25/16.,1136,1149,line_entry,SPACY JNLP2
gand;;1:15-cv-03584,gand,2015,1:15-cv-03584,45,06/13/2016,the first answer. Signed by Judge Mark H. Cohen on 6/13/16.,581,640,the first answer. Signed by Judge,Mark H. Cohen,on 6/13/16.,615,628,line_entry,SPACY JNLP2
