ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
gasd;;4:16-cv-00145,gasd,2016,4:16-cv-00145,2,06/27/2016,.). Signed by Magistrate Judge G. R. Smith on 6/27/16.,173,227,.). Signed by Magistrate Judge,G. R. Smith,on 6/27/16.,204,215,line_entry,SPACY JNLP2
gasd;;4:16-cv-00145,gasd,2016,4:16-cv-00145,4,07/26/2016,/2016. Signed by Magistrate Judge G. R. Smith on 7/25/2016.,170,229,/2016. Signed by Magistrate Judge,G. R. Smith,on 7/25/2016.,204,215,line_entry,SPACY JNLP2
gasd;;4:16-cv-00145,gasd,2016,4:16-cv-00145,5,07/26/2016,Larry Watson. Signed by Magistrate Judge G. R. Smith on 7/25/2016.,145,211,Larry Watson. Signed by Magistrate Judge,G. R. Smith,on 7/25/2016.,186,197,line_entry,SPACY JNLP2
gasd;;4:16-cv-00145,gasd,2016,4:16-cv-00145,7,08/10/2016,/2016. Signed by Magistrate Judge G. R. Smith on 8/10/2016.,166,225,/2016. Signed by Magistrate Judge,G. R. Smith,on 8/10/2016.,200,211,line_entry,SPACY JNLP2
gasd;;4:16-cv-00145,gasd,2016,4:16-cv-00145,8,08/10/2016,Larry Watson. Signed by Magistrate Judge G. R. Smith on 8/10/2016.,145,211,Larry Watson. Signed by Magistrate Judge,G. R. Smith,on 8/10/2016.,186,197,line_entry,SPACY JNLP2
gasd;;4:16-cv-00145,gasd,2016,4:16-cv-00145,11,09/29/2016,"dismissing 2255 petition. Signed by Judge William T. Moore, Jr on 9/29/16.",78,152,dismissing 2255 petition. Signed by Judge,"William T. Moore, Jr",on 9/29/16.,120,140,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,3,12/27/2016,INSTRUCTION ORDER. Signed by Magistrate Judge Brian K. Epps on 12/27/2016.,8,82,INSTRUCTION ORDER. Signed by Magistrate Judge,Brian K. Epps,on 12/27/2016.,54,67,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,15,02/02/2017,17/2017. Signed by Judge J. Randal Hall on 02/02/2017.,157,211,17/2017. Signed by Judge,J. Randal Hall,on 02/02/2017.,182,196,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,17,03/21/2017,this Order. Signed by Magistrate Judge Brian K. Epps on 03/21/2017.,251,318,this Order. Signed by Magistrate Judge,Brian K. Epps,on 03/21/2017.,290,303,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,19,04/11/2017,/2017. Signed by Magistrate Judge Brian K. Epps on 04/11/2017.,205,267,/2017. Signed by Magistrate Judge,Brian K. Epps,on 04/11/2017.,239,252,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,24,08/21/2017,to Dismiss. Signed by Chief Judge J. Randal Hall on 08/21/2017.,108,171,to Dismiss. Signed by Chief Judge,J. Randal Hall,on 08/21/2017.,142,156,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,25,08/23/2017,to Dismiss. Signed by Chief Judge J. Randal Hall on 08/23/2017.,53,116,to Dismiss. Signed by Chief Judge,J. Randal Hall,on 08/23/2017.,87,101,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,28,08/29/2017,of Absence. Signed by Magistrate Judge Brian K. Epps on 8/29/2017.,40,106,of Absence. Signed by Magistrate Judge,Brian K. Epps,on 8/29/2017.,79,92,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,29,10/29/2018,Augusta - 2nd Floor before Chief Judge J. Randal Hall. Pretrial Conference set for 1/,145,230,Augusta - 2nd Floor before Chief Judge,J. Randal Hall,. Pretrial Conference set for 1/,184,198,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,29,10/29/2018,Augusta - 2nd Floor before Chief Judge J. Randal Hall. The parties must submit all unresolved,251,344,Augusta - 2nd Floor before Chief Judge,J. Randal Hall,. The parties must submit all unresolved,290,304,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,29,10/29/2018,", 2019. Signed by Chief Judge J. Randal Hall on 10/29/2018.",529,588,", 2019. Signed by Chief Judge",J. Randal Hall,on 10/29/2018.,559,573,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,33,11/13/2018,Augusta - 1st Floor before Magistrate Judge Brian K. Epps. Please dial 877-336-,94,173,Augusta - 1st Floor before Magistrate Judge,Brian K. Epps,. Please dial 877-336-,138,151,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,34,11/14/2018,scheduling order. Signed by Magistrate Judge Brian K. Epps on 11/14/2018.,206,279,scheduling order. Signed by Magistrate Judge,Brian K. Epps,on 11/14/2018.,251,264,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,35,11/15/2018,", Georgia. Signed by Magistrate Judge Brian K. Epps on 11/15/2018.",159,225,", Georgia. Signed by Magistrate Judge",Brian K. Epps,on 11/15/2018.,197,210,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,36,11/28/2018,Entry for proceedings held before Magistrate Judge Brian K. Epps: Mediation Settlement Conference held on 11,7,115,Entry for proceedings held before Magistrate Judge,Brian K. Epps,: Mediation Settlement Conference held on 11,58,71,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,37,12/19/2018,2018 Order. Signed by Chief Judge J. Randal Hall on 12/19/2018.,265,328,2018 Order. Signed by Chief Judge,J. Randal Hall,on 12/19/2018.,299,313,line_entry,SPACY JNLP2
gasd;;1:16-cv-00214,gasd,2016,1:16-cv-00214,39,02/01/2019,otherwise agreed. Signed by Chief Judge J. Randal Hall on 02/01/2019.,232,301,otherwise agreed. Signed by Chief Judge,J. Randal Hall,on 02/01/2019.,272,286,line_entry,SPACY JNLP2
gasd;;6:16-cv-00125,gasd,2016,6:16-cv-00125,1,08/31/2016,Michael Antonio Cornelius. REFERRED to Judge R. Stan Baker.(loh) (Entered:,49,123,Michael Antonio Cornelius. REFERRED to Judge,R. Stan Baker,.(loh) (Entered:,94,107,line_entry,SPACY JNLP2
gasd;;6:16-cv-00125,gasd,2016,6:16-cv-00125,2,03/07/2018,forma pauperis. Signed by Magistrate Judge R. Stan Baker on 3/7/2018.,48,117,forma pauperis. Signed by Magistrate Judge,R. Stan Baker,on 3/7/2018.,91,104,line_entry,SPACY JNLP2
gasd;;6:16-cv-00125,gasd,2016,6:16-cv-00125,3,03/07/2018,not incarcerated. Signed by Magistrate Judge R. Stan Baker on 3/7/2018.,727,798,not incarcerated. Signed by Magistrate Judge,R. Stan Baker,on 3/7/2018.,772,785,line_entry,SPACY JNLP2
gasd;;6:16-cv-00125,gasd,2016,6:16-cv-00125,4,03/07/2018,INSTRUCTION ORDER. Signed by Magistrate Judge R. Stan Baker on 3/7/2018.,8,80,INSTRUCTION ORDER. Signed by Magistrate Judge,R. Stan Baker,on 3/7/2018.,54,67,line_entry,SPACY JNLP2
gasd;;6:16-cv-00125,gasd,2016,6:16-cv-00125,6,05/10/2018,remain pending. Signed by Chief Judge J. Randal Hall on 05/10/2018.,397,464,remain pending. Signed by Chief Judge,J. Randal Hall,on 05/10/2018.,435,449,line_entry,SPACY JNLP2
gasd;;6:16-cv-00125,gasd,2016,6:16-cv-00125,8,06/08/2018,Magistrate Judge. Signed by Magistrate Judge R. Stan Baker on 6/8/18.,479,548,Magistrate Judge. Signed by Magistrate Judge,R. Stan Baker,on 6/8/18.,524,537,line_entry,SPACY JNLP2
gasd;;6:16-cv-00125,gasd,2016,6:16-cv-00125,10,07/23/2018,this case. Signed by Chief Judge J. Randal Hall on 07/23/2018.,257,319,this case. Signed by Chief Judge,J. Randal Hall,on 07/23/2018.,290,304,line_entry,SPACY JNLP2
gasd;;4:16-cr-00191,gasd,2016,4:16-cr-00191,3,07/17/2018,1). Signed by Magistrate Judge G. R. Smith on 7/17/18.,59,113,1). Signed by Magistrate Judge,G. R. Smith,on 7/17/18.,90,101,line_entry,SPACY JNLP2
gasd;;4:16-cr-00011,gasd,2016,4:16-cr-00011,3,02/29/2016,1). Signed by Magistrate Judge G. R. Smith on 2/29/16.,65,119,1). Signed by Magistrate Judge,G. R. Smith,on 2/29/16.,96,107,line_entry,SPACY JNLP2
gasd;;5:16-cv-00030,gasd,2016,5:16-cv-00030,1,04/15/2016,by Brandon Stanley. REFERRED to Judge R. Stan Baker.(cmr) (Entered:,46,113,by Brandon Stanley. REFERRED to Judge,R. Stan Baker,.(cmr) (Entered:,84,97,line_entry,SPACY JNLP2
gasd;;5:16-cv-00030,gasd,2016,5:16-cv-00030,2,04/22/2016,/2016. Signed by Magistrate Judge R. Stan Baker on 4/22/2016.,224,285,/2016. Signed by Magistrate Judge,R. Stan Baker,on 4/22/2016.,258,271,line_entry,SPACY JNLP2
gasd;;5:16-cv-00030,gasd,2016,5:16-cv-00030,5,07/11/2016,current custodian. Signed by Magistrate Judge R. Stan Baker on 7/11/2016.,220,293,current custodian. Signed by Magistrate Judge,R. Stan Baker,on 7/11/2016.,266,279,line_entry,SPACY JNLP2
gasd;;5:16-cv-00030,gasd,2016,5:16-cv-00030,7,08/04/2016,Magistrate Judge. Signed by Magistrate Judge R. Stan Baker on 8/4/2016.,521,592,Magistrate Judge. Signed by Magistrate Judge,R. Stan Baker,on 8/4/2016.,566,579,line_entry,SPACY JNLP2
gasd;;5:16-cv-00030,gasd,2016,5:16-cv-00030,9,09/07/2016,on appeal. Signed by Chief Judge Lisa G. Wood on 9/7/2016.,384,442,on appeal. Signed by Chief Judge,Lisa G. Wood,on 9/7/2016.,417,429,line_entry,SPACY JNLP2
gasd;;5:16-cv-00030,gasd,2016,5:16-cv-00030,10,09/12/2016,'s Complaint. Signed by Chief Judge Lisa G. Wood on 9/12/2016.,91,153,'s Complaint. Signed by Chief Judge,Lisa G. Wood,on 9/12/2016.,127,139,line_entry,SPACY JNLP2
gasd;;1:16-cv-00067,gasd,2016,1:16-cv-00067,1,02/08/2016,. Motion(s) referred to CHARLES H WEIGLE.(ggs) (Entered:,94,150,. Motion(s) referred to,CHARLES H WEIGLE,.(ggs) (Entered:,118,134,line_entry,SPACY JNLP2
gasd;;1:16-cv-00067,gasd,2016,1:16-cv-00067,2,02/08/2016,ORDER REFERRING CASE to Magistrate Judge Charles H. Weigle issued at the direction of the Court,0,95,ORDER REFERRING CASE to Magistrate Judge,Charles H. Weigle,issued at the direction of the Court,41,58,line_entry,SPACY JNLP2
gasd;;1:16-cv-00067,gasd,2016,1:16-cv-00067,5,03/04/2016,pauperis. Ordered by US MAGISTRATE JUDGE CHARLES H WEIGLE on 3/2/2016.,52,122,pauperis. Ordered by US MAGISTRATE JUDGE,CHARLES H WEIGLE,on 3/2/2016.,93,109,line_entry,SPACY JNLP2
gasd;;1:16-cv-00067,gasd,2016,1:16-cv-00067,7,03/21/2016,. Motion(s) referred to CHARLES H WEIGLE.(ggs) (Entered:,137,193,. Motion(s) referred to,CHARLES H WEIGLE,.(ggs) (Entered:,161,177,line_entry,SPACY JNLP2
