ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,2,06/22/2016,"in 3rd Floor Courtroom before Magistrate Judge Joaquin V.E. Manibusan Jr.. (fad, )",150,232,in 3rd Floor Courtroom before Magistrate Judge,Joaquin V.E.,"Manibusan Jr.. (fad, )",197,209,line_entry,SPACY JNLP2
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,3,06/24/2016,"Entry for proceedings held before Magistrate Judge Joaquin V.E. Manibusan, Jr.: Initial Appearance on",7,108,Entry for proceedings held before Magistrate Judge,Joaquin V.E.,"Manibusan, Jr.: Initial Appearance on",58,70,line_entry,SPACY JNLP2
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,3,06/24/2016,"Magistrate Judge Joaquin V.E. Manibusan, Jr.: Initial Appearance on Information, Waiver",41,128,Magistrate Judge Joaquin V.E.,"Manibusan, Jr.",": Initial Appearance on Information, Waiver",71,85,line_entry,SPACY JNLP2
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,4,06/24/2016,"/2016. Signed by Magistrate Judge Joaquin V.E. Manibusan, Jr. on 6/24",106,175,/2016. Signed by Magistrate Judge,Joaquin V.E.,"Manibusan, Jr. on 6/24",140,152,line_entry,SPACY JNLP2
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,4,06/24/2016,"Magistrate Judge Joaquin V.E. Manibusan, Jr. on 6/24/2016.",123,181,Magistrate Judge Joaquin V.E.,"Manibusan, Jr.",on 6/24/2016.,153,167,line_entry,SPACY JNLP2
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,7,06/24/2016,"/2016. Signed by Magistrate Judge Joaquin V.E. Manibusan, Jr. on 6/24",86,155,/2016. Signed by Magistrate Judge,Joaquin V.E.,"Manibusan, Jr. on 6/24",120,132,line_entry,SPACY JNLP2
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,7,06/24/2016,"Magistrate Judge Joaquin V.E. Manibusan, Jr. on 6/24/2016.",103,161,Magistrate Judge Joaquin V.E.,"Manibusan, Jr.",on 6/24/2016.,133,147,line_entry,SPACY JNLP2
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,8,06/24/2016,"1). Signed by Magistrate Judge Joaquin V.E. Manibusan, Jr. on 6/24",67,133,1). Signed by Magistrate Judge,Joaquin V.E.,"Manibusan, Jr. on 6/24",98,110,line_entry,SPACY JNLP2
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,8,06/24/2016,"Magistrate Judge Joaquin V.E. Manibusan, Jr. on 6/24/2016.",81,139,Magistrate Judge Joaquin V.E.,"Manibusan, Jr.",on 6/24/2016.,111,125,line_entry,SPACY JNLP2
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,9,06/24/2016,in 4th Floor Courtroom before Chief Judge Frances M. Tydingco-Gatewood. Signed by Magistrate Judge Joaquin V,383,491,in 4th Floor Courtroom before Chief Judge,Frances M. Tydingco-Gatewood,. Signed by Magistrate Judge Joaquin V,425,453,line_entry,SPACY JNLP2
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,9,06/24/2016,"-Gatewood. Signed by Magistrate Judge Joaquin V.E. Manibusan, Jr on 6/24",444,516,-Gatewood. Signed by Magistrate Judge,Joaquin V.E.,"Manibusan, Jr on 6/24",482,494,line_entry,SPACY JNLP2
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,9,06/24/2016,"Magistrate Judge Joaquin V.E. Manibusan, Jr on 6/24/2016.",465,522,Magistrate Judge Joaquin V.E.,"Manibusan, Jr",on 6/24/2016.,495,508,line_entry,SPACY JNLP2
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,10,07/11/2016,in 4th Floor Courtroom before Chief Judge Frances M. Tydingco-Gatewood. Signed by Chief Judge Frances M,150,253,in 4th Floor Courtroom before Chief Judge,Frances M. Tydingco-Gatewood,. Signed by Chief Judge Frances M,192,220,line_entry,SPACY JNLP2
gud;;1:16-cr-00019,gud,2016,1:16-cr-00019,10,07/11/2016,-Gatewood. Signed by Chief Judge Frances M. Tydingco-Gatewood on 7/11/2016.,211,286,-Gatewood. Signed by Chief Judge,Frances M. Tydingco-Gatewood,on 7/11/2016.,244,272,line_entry,SPACY JNLP2
