ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
ilnd;;1:21-cv-00165,ilnd,2021,1:21-cv-00165,4,01/12/2021,CASE ASSIGNED to the Honorable Franklin U. Valderrama. Designated as Magistrate Judge the Honorable,0,99,CASE ASSIGNED to the Honorable,Franklin U. Valderrama,. Designated as Magistrate Judge the Honorable,31,53,line_entry,SPACY JNLP2
ilnd;;1:21-cv-00165,ilnd,2021,1:21-cv-00165,4,01/12/2021,. Designated as Magistrate Judge the Honorable Jeffrey I. Cummings. Case assignment: Random assignment.,53,156,. Designated as Magistrate Judge the Honorable,Jeffrey I. Cummings,. Case assignment: Random assignment.,100,119,line_entry,SPACY JNLP2
ilnd;;1:21-cv-00165,ilnd,2021,1:21-cv-00165,8,02/05/2021,MINUTE entry before the Honorable Franklin U. Valderrama: Plaintiff's Motion for Leave to,0,89,MINUTE entry before the Honorable,Franklin U. Valderrama,: Plaintiff's Motion for Leave to,34,56,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,2,08/05/2014,CASE ASSIGNED to the Honorable John W. Darrah. Designated as Magistrate Judge the Honorable,0,91,CASE ASSIGNED to the Honorable,John W. Darrah,. Designated as Magistrate Judge the Honorable,31,45,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,2,08/05/2014,". Designated as Magistrate Judge the Honorable Jeffrey T. Gilbert. (jn, ) (Entered",45,127,. Designated as Magistrate Judge the Honorable,Jeffrey T. Gilbert,". (jn, ) (Entered",92,110,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,6,08/11/2014,:30 a.m. Signed by the Honorable John W. Darrah on 8/11/2014.,59,120,:30 a.m. Signed by the Honorable,John W. Darrah,on 8/11/2014.,92,106,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,17,10/07/2014,MINUTE entry before the Honorable John W. Darrah: Status hearing held and continued to,0,86,MINUTE entry before the Honorable,John W. Darrah,: Status hearing held and continued to,34,48,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,19,10/14/2014,"default judgment,, 17 before Honorable John W. Darrah on 10/21/2014 at",101,171,"default judgment,, 17 before Honorable",John W. Darrah,on 10/21/2014 at,140,154,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,20,10/20/2014,MINUTE entry before the Honorable John W. Darrah: Status hearing set for 10/,0,76,MINUTE entry before the Honorable,John W. Darrah,: Status hearing set for 10/,34,48,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,21,10/20/2014,MINUTE entry before the Honorable John W. Darrah: : Status hearing set for 10,0,77,MINUTE entry before the Honorable,John W. Darrah,: : Status hearing set for 10,34,48,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,22,10/21/2014,",,,, 17 before Honorable John W. Darrah on 10/28/2014 at",115,171,",,,, 17 before Honorable",John W. Darrah,on 10/28/2014 at,140,154,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,23,10/28/2014,Enter order. Signed by the Honorable John W. Darrah on 10/28/2014.,103,169,Enter order. Signed by the Honorable,John W. Darrah,on 10/28/2014.,140,154,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,24,10/28/2014,JUDGMENT ORDER Signed by the Honorable John W. Darrah on 10/28/2014.,0,68,JUDGMENT ORDER Signed by the Honorable,John W. Darrah,on 10/28/2014.,39,53,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,28,02/11/2016,"motion for order, 25 before Honorable John W. Darrah on 2/17/2016 at",59,127,"motion for order, 25 before Honorable",John W. Darrah,on 2/17/2016 at,97,111,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,29,02/17/2016,Enter order. Signed by the Honorable John W. Darrah on 2/17/2016.,92,157,Enter order. Signed by the Honorable,John W. Darrah,on 2/17/2016.,129,143,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,30,02/17/2016,ORDER: Signed by the Honorable John W. Darrah on 2/17/2016.,0,59,ORDER: Signed by the Honorable,John W. Darrah,on 2/17/2016.,31,45,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,32,02/09/2017,"motion for order, 29 before Honorable John W. Darrah on 2/15/2017 at",59,127,"motion for order, 29 before Honorable",John W. Darrah,on 2/15/2017 at,97,111,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,33,02/13/2017,ORDER: Signed by the Honorable John W. Darrah on 2/13/2017.,0,59,ORDER: Signed by the Honorable,John W. Darrah,on 2/13/2017.,31,45,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,34,02/14/2017,MINUTE entry before the Honorable John W. Darrah: Agreed Motion for order extending Citations,0,93,MINUTE entry before the Honorable,John W. Darrah,: Agreed Motion for order extending Citations,34,48,line_entry,SPACY JNLP2
ilnd;;1:14-cv-05977,ilnd,2014,1:14-cv-05977,37,02/05/2018,ORDER: Case reassigned to the Honorable Manish S. Shah for all further proceedings. Honorable John,20,118,ORDER: Case reassigned to the Honorable,Manish S. Shah,for all further proceedings. Honorable John,60,74,line_entry,SPACY JNLP2
