ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,4,09/08/2016,Notice of Judge Assignment. Judge J. Phil Gilbert and Magistrate Judge Philip M. Frazier,0,88,Notice of Judge Assignment. Judge,J. Phil Gilbert,and Magistrate Judge Philip M. Frazier,34,49,line_entry,SPACY JNLP2
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,4,09/08/2016,J. Phil Gilbert and Magistrate Judge Philip M. Frazier assigned. All future documents must bear,34,129,J. Phil Gilbert and Magistrate Judge,Philip M. Frazier,assigned. All future documents must bear,71,88,line_entry,SPACY JNLP2
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,6,09/19/2016,. Case referral reassigned to Magistrate Judge Reona J. Daly for all further proceedings. Case no,50,147,. Case referral reassigned to Magistrate Judge,Reona J. Daly,for all further proceedings. Case no,97,110,line_entry,SPACY JNLP2
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,6,09/19/2016,Case no longer referred to Magistrate Judge Frazier. All future pleadings shall bear case,140,229,Case no longer referred to Magistrate Judge,Frazier,. All future pleadings shall bear case,184,191,line_entry,SPACY JNLP2
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,6,09/19/2016,-RJD.Signed by Chief Judge Michael J. Reagan on 9/9/16.,248,303,-RJD.Signed by Chief Judge,Michael J. Reagan,on 9/9/16.,275,292,line_entry,SPACY JNLP2
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,9,09/23/2016,30 AM in Benton Courthouse before Judge J. Phil Gilbert. Jury Trial is set for 10,76,157,30 AM in Benton Courthouse before Judge,J. Phil Gilbert,. Jury Trial is set for 10,116,131,line_entry,SPACY JNLP2
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,9,09/23/2016,00 AM in Benton Courthouse before Judge J. Phil Gilbert. Signed by Judge J. Phil,171,251,00 AM in Benton Courthouse before Judge,J. Phil Gilbert,. Signed by Judge J. Phil,211,226,line_entry,SPACY JNLP2
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,9,09/23/2016,. Phil Gilbert. Signed by Judge J. Phil Gilbert on 9/23/2016.,212,273,. Phil Gilbert. Signed by Judge,J. Phil Gilbert,on 9/23/2016.,244,259,line_entry,SPACY JNLP2
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,11,09/26/2016,"00 AM via telephone before Magistrate Judge Reona J. Daly. To join the conference call,",108,195,00 AM via telephone before Magistrate Judge,Reona J. Daly,". To join the conference call,",152,165,line_entry,SPACY JNLP2
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,12,09/26/2016,request a prompt telephone conference with Judge Daly and opposing counsel by alerting the law,213,307,request a prompt telephone conference with Judge,Daly,and opposing counsel by alerting the law,262,266,line_entry,SPACY JNLP2
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,12,09/26/2016,prefer to receive these materials through Judge Daly's email depository for proposed documents. When,609,709,prefer to receive these materials through Judge,Daly's,email depository for proposed documents. When,657,663,line_entry,SPACY JNLP2
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,12,09/26/2016,prevailing party. Signed by Magistrate Judge Reona J. Daly on 9/26/2016.,1086,1158,prevailing party. Signed by Magistrate Judge,Reona J. Daly,on 9/26/2016.,1131,1144,line_entry,SPACY JNLP2
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,13,09/30/2016,", 2016. Signed by Magistrate Judge Reona J. Daly on 9/30/16.",184,244,", 2016. Signed by Magistrate Judge",Reona J. Daly,on 9/30/16.,219,232,line_entry,SPACY JNLP2
ilsd;;3:16-cv-01014,ilsd,2016,3:16-cv-01014,14,10/04/2016,"30 AM via telephone before Magistrate Judge Reona J. Daly. To join the conference call,",112,199,30 AM via telephone before Magistrate Judge,Reona J. Daly,". To join the conference call,",156,169,line_entry,SPACY JNLP2
