ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
laed;;2:16-cv-12296,laed,2016,2:16-cv-12296,1,07/01/2016,Initial Case Assignment to Judge Eldon E. Fallon and Magistrate Judge Michael North. (,0,86,Initial Case Assignment to Judge,Eldon E. Fallon,and Magistrate Judge Michael North. (,33,48,line_entry,SPACY JNLP2
laed;;2:16-cv-12296,laed,2016,2:16-cv-12296,1,07/01/2016,Eldon E. Fallon and Magistrate Judge Michael North. (mmv) (Entered:,33,100,Eldon E. Fallon and Magistrate Judge,Michael North,. (mmv) (Entered:,70,83,line_entry,SPACY JNLP2
laed;;2:16-cv-12296,laed,2016,2:16-cv-12296,2,09/12/2016,- #30. Signed by Judge Eldon E. Fallon.(ADI) (Entered:,19,73,- #30. Signed by Judge,Eldon E. Fallon,.(ADI) (Entered:,42,57,line_entry,SPACY JNLP2
laed;;2:16-cv-00022,laed,2016,2:16-cv-00022,0,01/04/2016,Initial Case Assignment to Judge Carl Barbier and Magistrate Judge Sally Shushan. (,0,83,Initial Case Assignment to Judge,Carl Barbier,and Magistrate Judge Sally Shushan. (,33,45,line_entry,SPACY JNLP2
laed;;2:16-cv-00022,laed,2016,2:16-cv-00022,0,01/04/2016,to Judge Carl Barbier and Magistrate Judge Sally Shushan. (mmv) (Entered:,24,97,to Judge Carl Barbier and Magistrate Judge,Sally Shushan,. (mmv) (Entered:,67,80,line_entry,SPACY JNLP2
laed;;2:16-cv-04377,laed,2016,2:16-cv-04377,1,05/09/2016,Initial Case Assignment to Judge Carl Barbier and Magistrate Judge Sally Shushan. (,0,83,Initial Case Assignment to Judge,Carl Barbier,and Magistrate Judge Sally Shushan. (,33,45,line_entry,SPACY JNLP2
laed;;2:16-cv-04377,laed,2016,2:16-cv-04377,1,05/09/2016,to Judge Carl Barbier and Magistrate Judge Sally Shushan. (mmv) (Entered:,24,97,to Judge Carl Barbier and Magistrate Judge,Sally Shushan,. (mmv) (Entered:,67,80,line_entry,SPACY JNLP2
laed;;2:16-cv-04377,laed,2016,2:16-cv-04377,3,05/13/2016,ORDER #12. Signed by Judge Carl Barbier on 10/25/2010.,9,63,ORDER #12. Signed by Judge,Carl Barbier,on 10/25/2010.,36,48,line_entry,SPACY JNLP2
laed;;2:16-cv-04377,laed,2016,2:16-cv-04377,4,05/13/2016,. 16050). Signed by Judge Carl Barbier on 4/15/16.,1116,1166,. 16050). Signed by Judge,Carl Barbier,on 4/15/16.,1142,1154,line_entry,SPACY JNLP2
laed;;2:16-cv-04377,laed,2016,2:16-cv-04377,4,05/13/2016,Bundle B1). Signed by Judge Carl Barbier on 05/20/2013.,1196,1251,Bundle B1). Signed by Judge,Carl Barbier,on 05/20/2013.,1224,1236,line_entry,SPACY JNLP2
laed;;2:16-cv-04377,laed,2016,2:16-cv-04377,5,08/04/2016,"CASE. Case reassigned to Magistrate Judge Joseph C. Wilkinson, Jr for all further proceedings. Magistrate Judge",18,129,CASE. Case reassigned to Magistrate Judge,"Joseph C. Wilkinson, Jr",for all further proceedings. Magistrate Judge,60,83,line_entry,SPACY JNLP2
laed;;2:16-cv-04377,laed,2016,2:16-cv-04377,5,08/04/2016,for all further proceedings. Magistrate Judge Sally Shushan no longer assigned to case. Signed,84,178,for all further proceedings. Magistrate Judge,Sally Shushan,no longer assigned to case. Signed,130,143,line_entry,SPACY JNLP2
laed;;2:16-cv-04377,laed,2016,2:16-cv-04377,5,08/04/2016,to case. Signed by Chief Judge Kurt D. Engelhardt.(ADI) (Entered:,163,228,to case. Signed by Chief Judge,Kurt D. Engelhardt,.(ADI) (Entered:,194,212,line_entry,SPACY JNLP2
laed;;2:16-cv-04377,laed,2016,2:16-cv-04377,6,07/10/2018,case with prejudice. Signed by Judge Carl Barbier. (Attachments: # 1 Exhibit,35,111,case with prejudice. Signed by Judge,Carl Barbier,. (Attachments: # 1 Exhibit,72,84,line_entry,SPACY JNLP2
laed;;2:16-cv-01616,laed,2016,2:16-cv-01616,1,02/26/2016,Initial Case Assignment to Judge Eldon E. Fallon and Magistrate Judge Michael North. (,0,86,Initial Case Assignment to Judge,Eldon E. Fallon,and Magistrate Judge Michael North. (,33,48,line_entry,SPACY JNLP2
laed;;2:16-cv-01616,laed,2016,2:16-cv-01616,1,02/26/2016,Eldon E. Fallon and Magistrate Judge Michael North. (jeg) (Entered:,33,100,Eldon E. Fallon and Magistrate Judge,Michael North,. (jeg) (Entered:,70,83,line_entry,SPACY JNLP2
laed;;2:16-cv-01616,laed,2016,2:16-cv-01616,2,02/26/2016,-#23. Signed by Judge Eldon E. Fallon.(cg) (Entered:,18,70,-#23. Signed by Judge,Eldon E. Fallon,.(cg) (Entered:,40,55,line_entry,SPACY JNLP2
laed;;2:16-cv-14157,laed,2016,2:16-cv-14157,1,08/29/2016,Initial Case Assignment to Judge Eldon E. Fallon and Magistrate Judge Michael North. (,0,86,Initial Case Assignment to Judge,Eldon E. Fallon,and Magistrate Judge Michael North. (,33,48,line_entry,SPACY JNLP2
laed;;2:16-cv-14157,laed,2016,2:16-cv-14157,1,08/29/2016,Eldon E. Fallon and Magistrate Judge Michael North. (djg) (Entered:,33,100,Eldon E. Fallon and Magistrate Judge,Michael North,. (djg) (Entered:,70,83,line_entry,SPACY JNLP2
laed;;2:16-cv-14157,laed,2016,2:16-cv-14157,10,10/13/2016,- #30. Signed by Judge Eldon E. Fallon.(ADI) (Entered:,19,73,- #30. Signed by Judge,Eldon E. Fallon,.(ADI) (Entered:,42,57,line_entry,SPACY JNLP2
laed;;2:16-cv-09023,laed,2016,2:16-cv-09023,1,06/10/2016,Initial Case Assignment to Judge Eldon E. Fallon and Magistrate Judge Michael North. (,0,86,Initial Case Assignment to Judge,Eldon E. Fallon,and Magistrate Judge Michael North. (,33,48,line_entry,SPACY JNLP2
laed;;2:16-cv-09023,laed,2016,2:16-cv-09023,1,06/10/2016,Eldon E. Fallon and Magistrate Judge Michael North. (jeg) (Entered:,33,100,Eldon E. Fallon and Magistrate Judge,Michael North,. (jeg) (Entered:,70,83,line_entry,SPACY JNLP2
laed;;2:16-cv-09023,laed,2016,2:16-cv-09023,6,07/27/2016,- #30. Signed by Judge Eldon E. Fallon.(ADI) (Entered:,19,73,- #30. Signed by Judge,Eldon E. Fallon,.(ADI) (Entered:,42,57,line_entry,SPACY JNLP2
laed;;2:16-cv-00653,laed,2016,2:16-cv-00653,1,01/25/2016,Initial Case Assignment to Judge Eldon E. Fallon and Magistrate Judge Michael North. (,0,86,Initial Case Assignment to Judge,Eldon E. Fallon,and Magistrate Judge Michael North. (,33,48,line_entry,SPACY JNLP2
laed;;2:16-cv-00653,laed,2016,2:16-cv-00653,1,01/25/2016,Eldon E. Fallon and Magistrate Judge Michael North. (jeg) (Entered:,33,100,Eldon E. Fallon and Magistrate Judge,Michael North,. (jeg) (Entered:,70,83,line_entry,SPACY JNLP2
laed;;2:16-cv-00653,laed,2016,2:16-cv-00653,3,01/26/2016,- #22. Signed by Judge Eldon E. Fallon.(mmv) (Entered:,18,72,- #22. Signed by Judge,Eldon E. Fallon,.(mmv) (Entered:,41,56,line_entry,SPACY JNLP2
laed;;2:16-cv-00653,laed,2016,2:16-cv-00653,4,02/01/2016,. 893). Signed by Judge Eldon E. Fallon.(cml) (Entered:,269,324,. 893). Signed by Judge,Eldon E. Fallon,.(cml) (Entered:,293,308,line_entry,SPACY JNLP2
laed;;2:16-cv-05892,laed,2016,2:16-cv-05892,1,05/17/2016,Initial Case Assignment to Judge Carl Barbier and Magistrate Judge Sally Shushan. (,0,83,Initial Case Assignment to Judge,Carl Barbier,and Magistrate Judge Sally Shushan. (,33,45,line_entry,SPACY JNLP2
laed;;2:16-cv-05892,laed,2016,2:16-cv-05892,1,05/17/2016,to Judge Carl Barbier and Magistrate Judge Sally Shushan. (mmv) (Entered:,24,97,to Judge Carl Barbier and Magistrate Judge,Sally Shushan,. (mmv) (Entered:,67,80,line_entry,SPACY JNLP2
laed;;2:16-cv-05892,laed,2016,2:16-cv-05892,2,06/17/2016,ORDER #12. Signed by Judge Carl Barbier on 6/2/2016.,23,75,ORDER #12. Signed by Judge,Carl Barbier,on 6/2/2016.,50,62,line_entry,SPACY JNLP2
laed;;2:16-cv-05892,laed,2016,2:16-cv-05892,3,06/17/2016,Bundle B1). Signed by Judge Carl Barbier on 04/15/2016.,1155,1210,Bundle B1). Signed by Judge,Carl Barbier,on 04/15/2016.,1183,1195,line_entry,SPACY JNLP2
laed;;2:16-cv-05892,laed,2016,2:16-cv-05892,4,08/04/2016,"CASE. Case reassigned to Magistrate Judge Joseph C. Wilkinson, Jr for all further proceedings. Magistrate Judge",18,129,CASE. Case reassigned to Magistrate Judge,"Joseph C. Wilkinson, Jr",for all further proceedings. Magistrate Judge,60,83,line_entry,SPACY JNLP2
