ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
lawd;;5:16-cv-01594,lawd,2016,5:16-cv-01594,1,11/16/2016,CASE Assigned to Judge Elizabeth E Foote and Magistrate Judge Karen L Hayes.,0,76,CASE Assigned to Judge,Elizabeth E Foote,and Magistrate Judge Karen L Hayes.,23,40,line_entry,SPACY JNLP2
lawd;;5:16-cv-01594,lawd,2016,5:16-cv-01594,1,11/16/2016,"Judge Elizabeth E Foote and Magistrate Judge Karen L Hayes. (crt,Thigpen, M",17,92,Judge Elizabeth E Foote and Magistrate Judge,Karen L Hayes,". (crt,Thigpen, M",62,75,line_entry,SPACY JNLP2
lawd;;5:16-cv-01594,lawd,2016,5:16-cv-01594,2,11/17/2016,"PROPOSED ORDER referred to Magistrate Judge Hayes. (Public entry, but no",0,72,PROPOSED ORDER referred to Magistrate Judge,Hayes,". (Public entry, but no",44,49,line_entry,SPACY JNLP2
lawd;;5:16-cv-01594,lawd,2016,5:16-cv-01594,3,11/21/2016,/2016. Signed by Magistrate Judge Karen L Hayes on 11/21/2016.,143,205,/2016. Signed by Magistrate Judge,Karen L Hayes,on 11/21/2016.,177,190,line_entry,SPACY JNLP2
lawd;;5:16-cv-01594,lawd,2016,5:16-cv-01594,5,03/06/2017,specified parties. Signed by Magistrate Judge Karen L Hayes on 3/6/17.,127,197,specified parties. Signed by Magistrate Judge,Karen L Hayes,on 3/6/17.,173,186,line_entry,SPACY JNLP2
lawd;;5:16-cv-01594,lawd,2016,5:16-cv-01594,10,04/24/2017,/2017. Signed by Magistrate Judge Karen L Hayes on 4/24/2017.,169,230,/2017. Signed by Magistrate Judge,Karen L Hayes,on 4/24/2017.,203,216,line_entry,SPACY JNLP2
lawd;;5:16-cv-01594,lawd,2016,5:16-cv-01594,12,09/25/2017,DISMISSED WITH PREJUDICE. Signed by Judge Elizabeth E Foote on 9/25/2017.,199,272,DISMISSED WITH PREJUDICE. Signed by Judge,Elizabeth E Foote,on 9/25/2017.,241,258,line_entry,SPACY JNLP2
lawd;;5:16-cv-01594,lawd,2016,5:16-cv-01594,14,10/05/2017,"12 Notice of Appeal referred to Judge Elizabeth E Foote. (Public entry, but no",41,119,12 Notice of Appeal referred to Judge,Elizabeth E Foote,". (Public entry, but no",79,96,line_entry,SPACY JNLP2
lawd;;5:16-cv-01594,lawd,2016,5:16-cv-01594,16,10/05/2017,"on Appeal. Motions referred to Judge Elizabeth E Foote. (crt,WalkerSld, B",69,142,on Appeal. Motions referred to Judge,Elizabeth E Foote,". (crt,WalkerSld, B",106,123,line_entry,SPACY JNLP2
lawd;;5:16-cv-01594,lawd,2016,5:16-cv-01594,17,10/06/2017,"Forma Pauperis on Appeal referred to Judge Elizabeth E Foote. (Public entry, but no",42,125,Forma Pauperis on Appeal referred to Judge,Elizabeth E Foote,". (Public entry, but no",85,102,line_entry,SPACY JNLP2
lawd;;5:16-cv-01594,lawd,2016,5:16-cv-01594,18,10/10/2017,in forma pauperis. Signed by Judge Elizabeth E Foote on 10/10/2017.,45,112,in forma pauperis. Signed by Judge,Elizabeth E Foote,on 10/10/2017.,80,97,line_entry,SPACY JNLP2
lawd;;5:16-cv-01594,lawd,2016,5:16-cv-01594,19,10/10/2017,Notice of Appeal. Signed by Judge Elizabeth E Foote on 10/10/2017.,42,108,Notice of Appeal. Signed by Judge,Elizabeth E Foote,on 10/10/2017.,76,93,line_entry,SPACY JNLP2
lawd;;5:16-cv-01594,lawd,2016,5:16-cv-01594,24,10/09/2018,APPEAL REMARK re 12 Notice of Appeal: Supreme Court,0,51,APPEAL REMARK,re,12 Notice of Appeal: Supreme Court,14,16,line_entry,SPACY JNLP2
lawd;;7:16-cr-00243,lawd,2016,7:16-cr-00243,1,10/21/2016,00 AM in FPLA before Magistrate Judge Kathleen Kay. (CVB Auto) (Entered,54,125,00 AM in FPLA before Magistrate Judge,Kathleen Kay,. (CVB Auto) (Entered,92,104,line_entry,SPACY JNLP2
lawd;;7:16-cr-00243,lawd,2016,7:16-cr-00243,2,10/21/2016,"Judge CVB Fort Polk before Magistrate Judge Kathleen Kay. (LaCombe, L) (",83,155,Judge CVB Fort Polk before Magistrate Judge,Kathleen Kay,". (LaCombe, L) (",127,139,line_entry,SPACY JNLP2
lawd;;7:16-cr-00243,lawd,2016,7:16-cr-00243,4,03/27/2017,"AM in Fort Polk before Magistrate Judge Kathleen Kay. (LaCombe, L) (",58,126,AM in Fort Polk before Magistrate Judge,Kathleen Kay,". (LaCombe, L) (",98,110,line_entry,SPACY JNLP2
lawd;;7:16-cr-00243,lawd,2016,7:16-cr-00243,5,04/10/2017,"AM in Fort Polk before Magistrate Judge Kathleen Kay. (LaCombe, L) (",65,133,AM in Fort Polk before Magistrate Judge,Kathleen Kay,". (LaCombe, L) (",105,117,line_entry,SPACY JNLP2
