ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
mnd;;0:16-cv-02800,mnd,2016,0:16-cv-02800,1,08/19/2016,CASE ASSIGNMENT. Case assigned to Judge Joan N. Ericksen per MDL List referred to Magistrate Judge,43,141,CASE ASSIGNMENT. Case assigned to Judge,Joan N. Ericksen,per MDL List referred to Magistrate Judge,83,99,line_entry,SPACY JNLP2
mnd;;0:16-cv-02800,mnd,2016,0:16-cv-02800,1,08/19/2016,per MDL List referred to Magistrate Judge Franklin L. Noel. Please use case number 16-,100,186,per MDL List referred to Magistrate Judge,Franklin L. Noel,. Please use case number 16-,142,158,line_entry,SPACY JNLP2
mnd;;0:16-cv-02800,mnd,2016,0:16-cv-02800,4,08/19/2016,. Establishing Procedures. Signed by Judge Joan N. Ericksen on 1/13/2016.,19,92,. Establishing Procedures. Signed by Judge,Joan N. Ericksen,on 1/13/2016.,62,78,line_entry,SPACY JNLP2
mnd;;0:16-cv-00142,mnd,2016,0:16-cv-00142,1,01/22/2016,CASE ASSIGNMENT. Case assigned to Judge Joan N Ericksen per Master list referred to Magistrate Judge,43,143,CASE ASSIGNMENT. Case assigned to Judge,Joan N Ericksen,per Master list referred to Magistrate Judge,83,98,line_entry,SPACY JNLP2
mnd;;0:16-cv-00142,mnd,2016,0:16-cv-00142,1,01/22/2016,per Master list referred to Magistrate Judge Becky R Thorson. Please use case number 16-,99,187,per Master list referred to Magistrate Judge,Becky R Thorson,. Please use case number 16-,144,159,line_entry,SPACY JNLP2
mnd;;0:16-cv-00142,mnd,2016,0:16-cv-00142,4,02/22/2016,"ORDER DISMISSING CASE. Signed by Judge Joan N. Ericksen on February 22, 2016. (",0,79,ORDER DISMISSING CASE. Signed by Judge,Joan N. Ericksen,"on February 22, 2016. (",39,55,line_entry,SPACY JNLP2
mnd;;0:16-cv-04302,mnd,2016,0:16-cv-04302,1,12/20/2016,CASE ASSIGNMENT. Case assigned to Judge Joan N. Ericksen per MDL List referred to Magistrate Judge,43,141,CASE ASSIGNMENT. Case assigned to Judge,Joan N. Ericksen,per MDL List referred to Magistrate Judge,83,99,line_entry,SPACY JNLP2
mnd;;0:16-cv-04302,mnd,2016,0:16-cv-04302,1,12/20/2016,per MDL List referred to Magistrate Judge Franklin L. Noel. Please use case number 16-,100,186,per MDL List referred to Magistrate Judge,Franklin L. Noel,. Please use case number 16-,142,158,line_entry,SPACY JNLP2
mnd;;0:16-cv-04302,mnd,2016,0:16-cv-04302,5,12/20/2016,. Establishing Procedures. Signed by Judge Joan N. Ericksen on 1/13/2016.,19,92,. Establishing Procedures. Signed by Judge,Joan N. Ericksen,on 1/13/2016.,62,78,line_entry,SPACY JNLP2
mnd;;0:16-cv-04302,mnd,2016,0:16-cv-04302,6,08/03/2018,"Due to the retirement of Magistrate Judge Franklin L. Noel, this case is reassigned to Magistrate",49,146,Due to the retirement of Magistrate Judge,Franklin L. Noel,", this case is reassigned to Magistrate",91,107,line_entry,SPACY JNLP2
mnd;;0:16-cv-04302,mnd,2016,0:16-cv-04302,6,08/03/2018,this case is reassigned to Magistrate Judge David T. Schultz. Magistrate Judge Franklin L. Noel,109,204,this case is reassigned to Magistrate Judge,David T. Schultz,. Magistrate Judge Franklin L. Noel,153,169,line_entry,SPACY JNLP2
mnd;;0:16-cv-04302,mnd,2016,0:16-cv-04302,6,08/03/2018,David T. Schultz. Magistrate Judge Franklin L. Noel no longer assigned to the case.,153,236,David T. Schultz. Magistrate Judge,Franklin L. Noel,no longer assigned to the case.,188,204,line_entry,SPACY JNLP2
mnd;;0:16-cv-04293,mnd,2016,0:16-cv-04293,2,12/20/2016,CASE ASSIGNMENT. Case assigned to Judge Donovan W. Frank per 6th Div. Civil Rights List,43,130,CASE ASSIGNMENT. Case assigned to Judge,Donovan W. Frank,per 6th Div. Civil Rights List,83,99,line_entry,SPACY JNLP2
mnd;;0:16-cv-04293,mnd,2016,0:16-cv-04293,2,12/20/2016,Rights List and referred to Magistrate Judge Leo I. Brisbois. Please use case number 16-,119,207,Rights List and referred to Magistrate Judge,Leo I. Brisbois,. Please use case number 16-,164,179,line_entry,SPACY JNLP2
mnd;;0:16-cv-04293,mnd,2016,0:16-cv-04293,6,01/31/2017,PROTECTIVE ORDER. Signed by Magistrate Judge Leo I. Brisbois on 1/31/2017.,0,74,PROTECTIVE ORDER. Signed by Magistrate Judge,Leo I. Brisbois,on 1/31/2017.,45,60,line_entry,SPACY JNLP2
mnd;;0:16-cv-04293,mnd,2016,0:16-cv-04293,7,02/03/2017,2 (FF) before Magistrate Judge Leo I. Brisbois. Signed by Magistrate Judge Leo I,99,179,2 (FF) before Magistrate Judge,Leo I. Brisbois,. Signed by Magistrate Judge Leo I,130,145,line_entry,SPACY JNLP2
mnd;;0:16-cv-04293,mnd,2016,0:16-cv-04293,7,02/03/2017,. Brisbois. Signed by Magistrate Judge Leo I. Brisbois on 2/3/2017.,135,202,. Brisbois. Signed by Magistrate Judge,Leo I. Brisbois,on 2/3/2017.,174,189,line_entry,SPACY JNLP2
mnd;;0:16-cv-04293,mnd,2016,0:16-cv-04293,9,02/06/2017,3 (DUL) before Magistrate Judge Leo I. Brisbois. Signed by Magistrate Judge Leo I,107,188,3 (DUL) before Magistrate Judge,Leo I. Brisbois,. Signed by Magistrate Judge Leo I,139,154,line_entry,SPACY JNLP2
mnd;;0:16-cv-04293,mnd,2016,0:16-cv-04293,9,02/06/2017,. Brisbois. Signed by Magistrate Judge Leo I. Brisbois on 2/6/2017.,144,211,. Brisbois. Signed by Magistrate Judge,Leo I. Brisbois,on 2/6/2017.,183,198,line_entry,SPACY JNLP2
mnd;;0:16-cv-04293,mnd,2016,0:16-cv-04293,14,03/14/2017,"hereby CANCELED. Entered by Magistrate Judge Leo I. Brisbois on March 14, 2017. (",155,236,hereby CANCELED. Entered by Magistrate Judge,Leo I. Brisbois,"on March 14, 2017. (",200,215,line_entry,SPACY JNLP2
mnd;;0:16-cv-04293,mnd,2016,0:16-cv-04293,16,04/10/2017,BE REFILED - PROPOSED ORDER TO JUDGE re 16 Stipulation of Dismissal. (Chinander,27,106,BE REFILED - PROPOSED ORDER TO JUDGE,re,16 Stipulation of Dismissal. (Chinander,64,66,line_entry,SPACY JNLP2
mnd;;0:16-cv-04293,mnd,2016,0:16-cv-04293,18,04/11/2017,PROPOSED ORDER TO JUDGE re 18 Stipulation of Dismissal. (Chinander,0,66,PROPOSED ORDER TO JUDGE,re,18 Stipulation of Dismissal. (Chinander,24,26,line_entry,SPACY JNLP2
mnd;;0:16-cv-04293,mnd,2016,0:16-cv-04293,19,04/11/2017,CASE WITH PREJUDICE. Signed by Judge Donovan W. Frank on 4/11/2017.,17,84,CASE WITH PREJUDICE. Signed by Judge,Donovan W. Frank,on 4/11/2017.,54,70,line_entry,SPACY JNLP2
mnd;;0:16-cv-03213,mnd,2016,0:16-cv-03213,1,08/12/2016,Case assigned to Judge Brian R. Martinotti and Magistrate Judge Lois H. Goodman,0,79,Case assigned to Judge,Brian R. Martinotti,and Magistrate Judge Lois H. Goodman,23,42,line_entry,SPACY JNLP2
