ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,2,08/11/2016,1). Signed by Magistrate Judge Jane M. Virden on 8/11/2016.,91,150,1). Signed by Magistrate Judge,Jane M. Virden,on 8/11/2016.,122,136,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,5,08/12/2016,T Hawkins. Signed by Magistrate Judge Jane M. Virden on 8/12/2016.,87,153,T Hawkins. Signed by Magistrate Judge,Jane M. Virden,on 8/12/2016.,125,139,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,6,08/12/2016,Entry for proceedings held before Magistrate Judge Jane M. Virden: Initial Appearance as to Anthony T,7,108,Entry for proceedings held before Magistrate Judge,Jane M. Virden,: Initial Appearance as to Anthony T,58,72,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,6,08/12/2016,in Greenville Courtroom 2 before Magistrate Judge Jane M. Virden. Preliminary Examination set for 8/,238,338,in Greenville Courtroom 2 before Magistrate Judge,Jane M. Virden,. Preliminary Examination set for 8/,288,302,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,6,08/12/2016,in Greenville Courtroom 2 before Magistrate Judge Jane M. Virden. (Court Reporter Digital.),355,446,in Greenville Courtroom 2 before Magistrate Judge,Jane M. Virden,. (Court Reporter Digital.),405,419,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,11,08/16/2016,grand jury. Signed by Magistrate Judge Jane M. Virden on 8/16/2016.,110,177,grand jury. Signed by Magistrate Judge,Jane M. Virden,on 8/16/2016.,149,163,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,13,10/07/2016,in Greenville Courtroom 2 before Magistrate Judge Jane M. Virden. (dmd),83,154,in Greenville Courtroom 2 before Magistrate Judge,Jane M. Virden,. (dmd),133,147,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,15,10/12/2016,in Aberdeen Courtroom 2 before Senior Judge Glen H. Davidson. Signed by Magistrate Judge Jane M,147,242,in Aberdeen Courtroom 2 before Senior Judge,Glen H. Davidson,. Signed by Magistrate Judge Jane M,191,207,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,15,10/12/2016,. Davidson. Signed by Magistrate Judge Jane M. Virden on 10/12/2016.,197,265,. Davidson. Signed by Magistrate Judge,Jane M. Virden,on 10/12/2016.,236,250,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,16,10/12/2016,in Aberdeen Courtroom 2 before Senior Judge Glen H. Davidson. (rel),84,151,in Aberdeen Courtroom 2 before Senior Judge,Glen H. Davidson,. (rel),128,144,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,17,10/13/2016,in Aberdeen Courtroom 2 before Senior Judge Glen H. Davidson. (rel),84,151,in Aberdeen Courtroom 2 before Senior Judge,Glen H. Davidson,. (rel),128,144,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,19,10/24/2016,in Aberdeen Courtroom 2 before Senior Judge Glen H. Davidson. Signed by Senior Judge Glen H,107,198,in Aberdeen Courtroom 2 before Senior Judge,Glen H. Davidson,. Signed by Senior Judge Glen H,151,167,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,19,10/24/2016,. Davidson. Signed by Senior Judge Glen H. Davidson on 10/24/16.,157,221,. Davidson. Signed by Senior Judge,Glen H. Davidson,on 10/24/16.,192,208,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,20,10/25/2016,in Aberdeen Courtroom 2 before Senior Judge Glen H. Davidson. (rel),85,152,in Aberdeen Courtroom 2 before Senior Judge,Glen H. Davidson,. (rel),129,145,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,21,11/29/2016,Oxford Courtroom 3 East before Senior Judge Glen H. Davidson. (rel),98,165,Oxford Courtroom 3 East before Senior Judge,Glen H. Davidson,. (rel),142,158,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,22,11/29/2016,in Oxford Courtroom 1 before Senior Judge Glen H. Davidson. RESET AS TO LOCATION ONLY.,85,171,in Oxford Courtroom 1 before Senior Judge,Glen H. Davidson,. RESET AS TO LOCATION ONLY.,127,143,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,23,12/07/2016,Courthouse - Courtroom 2 before Senior Judge Glen H. Davidson. CHANGE OF LOCATION ONLY. (,120,209,Courthouse - Courtroom 2 before Senior Judge,Glen H. Davidson,. CHANGE OF LOCATION ONLY. (,165,181,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,25,12/20/2016,Entry for proceedings held before Senior Judge Glen H. Davidson: Change of Plea Hearing as to,7,100,Entry for proceedings held before Senior Judge,Glen H. Davidson,: Change of Plea Hearing as to,54,70,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,26,12/20/2016,T Hawkins. Signed by Senior Judge Glen H. Davidson on 12/20/16.,53,116,T Hawkins. Signed by Senior Judge,Glen H. Davidson,on 12/20/16.,87,103,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,27,12/20/2016,Courthouse - Courtroom 2 before Senior Judge Glen H. Davidson. (rel),103,171,Courthouse - Courtroom 2 before Senior Judge,Glen H. Davidson,. (rel),148,164,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,29,12/20/2016,Courthouse - Courtroom 2 before Senior Judge Glen H. Davidson. (rel),107,175,Courthouse - Courtroom 2 before Senior Judge,Glen H. Davidson,. (rel),152,168,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,30,12/22/2016,Oxford Courtroom 3 West before Senior Judge Glen H. Davidson. CHANGE OF LOCATION. (rel,85,171,Oxford Courtroom 3 West before Senior Judge,Glen H. Davidson,. CHANGE OF LOCATION. (rel,129,145,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,31,04/06/2017,in Oxford Courtroom 1 before Senior Judge Glen H. Davidson. (rel),84,149,in Oxford Courtroom 1 before Senior Judge,Glen H. Davidson,. (rel),126,142,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,32,04/10/2017,in Oxford Courtroom 1 before Senior Judge Glen H. Davidson. (rel),84,149,in Oxford Courtroom 1 before Senior Judge,Glen H. Davidson,. (rel),126,142,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,34,04/17/2017,Entry for proceedings held before Senior Judge Glen H. Davidson: Sentencing on Count 1 as to,7,99,Entry for proceedings held before Senior Judge,Glen H. Davidson,: Sentencing on Count 1 as to,54,70,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,35,04/19/2017,/17 . Signed by Senior Judge Glen H. Davidson on 4/18/17.,149,206,/17 . Signed by Senior Judge,Glen H. Davidson,on 4/18/17.,178,194,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,38,05/22/2019,1). Signed by Senior Judge Glen H. Davidson on 5/20/2019.,210,267,1). Signed by Senior Judge,Glen H. Davidson,on 5/20/2019.,237,253,line_entry,SPACY JNLP2
msnd;;1:16-cr-00080,msnd,2016,1:16-cr-00080,39,08/05/2019,1). Signed by Senior Judge Glen H. Davidson on 8/5/2019.,57,113,1). Signed by Senior Judge,Glen H. Davidson,on 8/5/2019.,84,100,line_entry,SPACY JNLP2
