ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
ncwd;;1:16-cv-00154,ncwd,2016,1:16-cv-00154,0,12/28/2016,facility.   Signed by Chief Judge Frank D. Whitney on 12/28/16.,120,183,facility.   Signed by Chief Judge,Frank D. Whitney,on 12/28/16.,154,170,line_entry,SPACY JNLP2
ncwd;;1:16-cv-00092,ncwd,2016,1:16-cv-00092,2,04/06/2016,Case assigned to District Judge Martin Reidinger and Magistrate Judge Dennis Howell. Notice,0,91,Case assigned to District Judge,Martin Reidinger,and Magistrate Judge Dennis Howell. Notice,32,48,line_entry,SPACY JNLP2
ncwd;;1:16-cv-00092,ncwd,2016,1:16-cv-00092,2,04/06/2016,District Judge Martin Reidinger and Magistrate Judge Dennis Howell. Notice: You must click this,17,112,District Judge Martin Reidinger and Magistrate Judge,Dennis Howell,. Notice: You must click this,70,83,line_entry,SPACY JNLP2
ncwd;;1:16-cv-00092,ncwd,2016,1:16-cv-00092,6,06/06/2016,", James). Motions referred to Dennis Howell. (Entered: 06/06",247,307,", James). Motions referred to",Dennis Howell,. (Entered: 06/06,277,290,line_entry,SPACY JNLP2
ncwd;;1:16-cv-00092,ncwd,2016,1:16-cv-00092,10,06/14/2016,to Dismiss. Signed by Magistrate Judge Dennis Howell on 6/14/2016.,192,258,to Dismiss. Signed by Magistrate Judge,Dennis Howell,on 6/14/2016.,231,244,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,4,11/09/2018,"Charlotte, NC 28202 before Magistrate Judge David Keesler. (mga) (Entered:",148,222,"Charlotte, NC 28202 before Magistrate Judge",David Keesler,. (mga) (Entered:,192,205,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,6,11/09/2018,) Count 1 held before Magistrate Judge David Keesler. Defendant pled not guilty. Defendant,78,168,) Count 1 held before Magistrate Judge,David Keesler,. Defendant pled not guilty. Defendant,117,130,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,8,11/09/2018,Appoint Counsel. Entered by Magistrate Judge David Keesler on 11/9/18.,62,132,Appoint Counsel. Entered by Magistrate Judge,David Keesler,on 11/9/18.,107,120,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,9,11/09/2018,000 unsecured. Signed by Magistrate Judge David Keesler on 11/9/18.,82,149,000 unsecured. Signed by Magistrate Judge,David Keesler,on 11/9/18.,124,137,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,10,11/09/2018,000 unsecured. Signed by Magistrate Judge David Keesler on 11/9/18.,83,150,000 unsecured. Signed by Magistrate Judge,David Keesler,on 11/9/18.,125,138,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,12,11/09/2018,"Charlotte, NC 28202 before District Judge Max O. Cogburn Jr. Entered by Magistrate Judge David Keesler on",179,284,"Charlotte, NC 28202 before District Judge",Max O. Cogburn Jr.,Entered by Magistrate Judge David Keesler on,221,239,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,12,11/09/2018,. Cogburn Jr. Entered by Magistrate Judge David Keesler on 11/9/18.,226,293,. Cogburn Jr. Entered by Magistrate Judge,David Keesler,on 11/9/18.,268,281,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,13,11/09/2018,Order) . Entered by Magistrate Judge David Keesler on 11/9/18.,123,185,Order) . Entered by Magistrate Judge,David Keesler,on 11/9/18.,160,173,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,16,11/19/2018,"Charlotte, NC 28202 before District Judge Max O. Cogburn Jr. The time for filing pretrial motions is",157,257,"Charlotte, NC 28202 before District Judge",Max O. Cogburn Jr.,The time for filing pretrial motions is,199,217,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,16,11/19/2018,"60 days. Signed by District Judge Max O. Cogburn, Jr on 11/19/2018.",270,337,60 days. Signed by District Judge,"Max O. Cogburn, Jr",on 11/19/2018.,304,322,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,18,01/17/2019,"Charlotte, NC 28202 before District Judge Max O. Cogburn Jr. The time for filing pretrial motions is",155,255,"Charlotte, NC 28202 before District Judge",Max O. Cogburn Jr.,The time for filing pretrial motions is,197,215,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,18,01/17/2019,"this Order. Signed by District Judge Max O. Cogburn, Jr on 01/17/2019.",298,368,this Order. Signed by District Judge,"Max O. Cogburn, Jr",on 01/17/2019.,335,353,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,19,03/18/2019,"Karen Spurlin Turner held before District Judge Max O. Cogburn, Jr. Government attorney: Kenneth Smith. Defendant",32,145,Karen Spurlin Turner held before District Judge,"Max O. Cogburn, Jr.",Government attorney: Kenneth Smith. Defendant,80,99,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,21,03/18/2019,"Charlotte, NC 28202 before District Judge Max O. Cogburn Jr. Entered at the direction of District Judge",165,268,"Charlotte, NC 28202 before District Judge",Max O. Cogburn Jr.,Entered at the direction of District Judge,207,225,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,21,03/18/2019,"Entered at the direction of District Judge Max O. Cogburn, Jr on 3/18/2019.",226,301,Entered at the direction of District Judge,"Max O. Cogburn, Jr",on 3/18/2019.,269,287,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,22,03/20/2019,"this Order. Signed by District Judge Max O. Cogburn, Jr on 3/20/2019.",277,346,this Order. Signed by District Judge,"Max O. Cogburn, Jr",on 3/20/2019.,314,332,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,23,05/14/2019,"Charlotte, NC 28202 before Magistrate Judge David S. Cayer. This is your only notice -",145,231,"Charlotte, NC 28202 before Magistrate Judge",David S. Cayer,. This is your only notice -,189,203,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,25,05/16/2019,Karen Spurlin Turner held before Magistrate Judge David S. Cayer. Defendant sworn and advised of rights,47,150,Karen Spurlin Turner held before Magistrate Judge,David S. Cayer,. Defendant sworn and advised of rights,97,111,line_entry,SPACY JNLP2
ncwd;;3:16-cr-00236,ncwd,2016,3:16-cr-00236,26,05/16/2019,Karen Spurlin Turner signed by Magistrate Judge David S. Cayer. (tob) (Entered:,42,121,Karen Spurlin Turner signed by Magistrate Judge,David S. Cayer,. (tob) (Entered:,90,104,line_entry,SPACY JNLP2
