ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,6,11/22/2016,in Fargo Courtroom 2 before Magistrate Judge Alice R. Senechal. (lh) (Entered:,113,191,in Fargo Courtroom 2 before Magistrate Judge,Alice R. Senechal,. (lh) (Entered:,158,175,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,7,11/22/2016,Entry for proceedings held before Magistrate Judge Alice R. Senechal: Initial Appearance as to Hector Fernando,7,117,Entry for proceedings held before Magistrate Judge,Alice R. Senechal,: Initial Appearance as to Hector Fernando,58,75,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,9,11/22/2016,to Hector Fernando Brito by Magistrate Judge Alice R. Senechal. (lc) (Entered:,44,122,to Hector Fernando Brito by Magistrate Judge,Alice R. Senechal,. (lc) (Entered:,89,106,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,10,11/22/2016,to Hector Fernando Brito by Magistrate Judge Alice R. Senechal. Jury Trial set for 1/,40,125,to Hector Fernando Brito by Magistrate Judge,Alice R. Senechal,. Jury Trial set for 1/,85,102,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,10,11/22/2016,AM in Fargo Courtroom 1 before Judge Ralph R. Erickson. Pretrial Conference set for 1/,141,227,AM in Fargo Courtroom 1 before Judge,Ralph R. Erickson,. Pretrial Conference set for 1/,178,195,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,10,11/22/2016,AM in Fargo Courtroom 1 before Judge Ralph R. Erickson. Trial estimate: 4 days.,243,322,AM in Fargo Courtroom 1 before Judge,Ralph R. Erickson,. Trial estimate: 4 days.,280,297,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,12,11/22/2016,in Fargo Courtroom 2 before Magistrate Judge Alice R. Senechal. (lh) (Entered:,118,196,in Fargo Courtroom 2 before Magistrate Judge,Alice R. Senechal,. (lh) (Entered:,163,180,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,16,11/22/2016,Entry for proceedings held before Magistrate Judge Alice R. Senechal: Initial Appearance as to Christopher Antonio,7,121,Entry for proceedings held before Magistrate Judge,Alice R. Senechal,: Initial Appearance as to Christopher Antonio,58,75,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,18,11/22/2016,on Personal Recognizance Bond by Magistrate Judge Alice R. Senechal. (lc) (Entered:,69,152,on Personal Recognizance Bond by Magistrate Judge,Alice R. Senechal,. (lc) (Entered:,119,136,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,19,11/23/2016,Attorney Drew James Hushka by Magistrate Judge Alice R. Senechal. (lc) (Entered:,78,158,Attorney Drew James Hushka by Magistrate Judge,Alice R. Senechal,. (lc) (Entered:,125,142,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,20,11/23/2016,to Christopher Antonio Baxter by Magistrate Judge Alice R. Senechal. Jury Trial set for 1/,40,130,to Christopher Antonio Baxter by Magistrate Judge,Alice R. Senechal,. Jury Trial set for 1/,90,107,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,20,11/23/2016,AM in Fargo Courtroom 1 before Judge Ralph R. Erickson. Pretrial Conference set for 1/,146,232,AM in Fargo Courtroom 1 before Judge,Ralph R. Erickson,. Pretrial Conference set for 1/,183,200,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,20,11/23/2016,AM in Fargo Courtroom 1 before Judge Ralph R. Erickson. Trial estimate: 4 days.,248,327,AM in Fargo Courtroom 1 before Judge,Ralph R. Erickson,. Trial estimate: 4 days.,285,302,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,26,11/23/2016,to Hector Fernando Brito by Magistrate Judge Alice R. Senechal. Detention Hearing set for 11/,38,131,to Hector Fernando Brito by Magistrate Judge,Alice R. Senechal,. Detention Hearing set for 11/,83,100,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,26,11/23/2016,in Fargo Courtroom 2 before Magistrate Judge Alice R. Senechal. (lh) (Entered:,151,229,in Fargo Courtroom 2 before Magistrate Judge,Alice R. Senechal,. (lh) (Entered:,196,213,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,27,11/30/2016,Entry for proceedings held before Magistrate Judge Alice R. Senechal: Detention Hearing as to Hector Fernando,7,116,Entry for proceedings held before Magistrate Judge,Alice R. Senechal,: Detention Hearing as to Hector Fernando,58,75,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,28,11/30/2016,to Hector Fernando Brito by Magistrate Judge Alice R. Senechal. (AS) (Entered:,36,114,to Hector Fernando Brito by Magistrate Judge,Alice R. Senechal,. (AS) (Entered:,81,98,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,29,12/05/2016,as to Hector Fernando Brito by Judge Ralph R. Erickson. (SH) (Entered:,48,118,as to Hector Fernando Brito by Judge,Ralph R. Erickson,. (SH) (Entered:,85,102,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,30,12/05/2016,as to Christopher Antonio Baxter by Judge Ralph R. Erickson. (SH) (Entered:,48,123,as to Christopher Antonio Baxter by Judge,Ralph R. Erickson,. (SH) (Entered:,90,107,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,34,12/21/2016,ORDER by Judge Ralph R. Erickson granting 32 Motion for Leave to File,0,69,ORDER by Judge,Ralph R. Erickson,granting 32 Motion for Leave to File,15,32,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,35,12/21/2016,as to Hector Fernando Brito by Judge Ralph R. Erickson. (SH) (Entered:,77,147,as to Hector Fernando Brito by Judge,Ralph R. Erickson,. (SH) (Entered:,114,131,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,36,12/21/2016,CONTINUANCE ORDER by Judge Ralph R. Erickson granting 30 Motion to Continue as to,0,81,CONTINUANCE ORDER by Judge,Ralph R. Erickson,granting 30 Motion to Continue as to,27,44,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,36,12/21/2016,AM in Fargo Courtroom 1 before Judge Ralph R. Erickson (previously set for 1/17,253,332,AM in Fargo Courtroom 1 before Judge,Ralph R. Erickson,(previously set for 1/17,290,307,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,39,12/21/2016,Text Only) ORDER by Magistrate Judge Alice R. Senechal granting 32 Motion for Leave to File,33,124,Text Only) ORDER by Magistrate Judge,Alice R. Senechal,granting 32 Motion for Leave to File,70,87,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,40,12/22/2016,ORDER by Magistrate Judge Alice R. Senechal as to Hector Fernando Brito re 36,0,77,ORDER by Magistrate Judge,Alice R. Senechal,as to Hector Fernando Brito re 36,26,43,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,42,12/28/2016,Text Only) ORDER by Magistrate Judge Alice R. Senechal granting 37 Motion for Leave to File,1,92,Text Only) ORDER by Magistrate Judge,Alice R. Senechal,granting 37 Motion for Leave to File,38,55,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,45,12/30/2016,Entry for proceedings held before Magistrate Judge Alice R. Senechal: Motion Hearing as to Hector Fernando,7,113,Entry for proceedings held before Magistrate Judge,Alice R. Senechal,: Motion Hearing as to Hector Fernando,58,75,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,46,12/30/2016,Text Only) ORDER by Magistrate Judge Alice R. Senechal. For the reasons stated on the,1,86,Text Only) ORDER by Magistrate Judge,Alice R. Senechal,. For the reasons stated on the,38,55,line_entry,SPACY JNLP2
ndd;;3:16-cr-00270,ndd,2016,3:16-cr-00270,49,01/09/2017,AM in Fargo Courtroom 1 before Judge Ralph R. Erickson and Jury Trial set for 1/,109,189,AM in Fargo Courtroom 1 before Judge,Ralph R. Erickson,and Jury Trial set for 1/,146,163,line_entry,SPACY JNLP2
