ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
ned;;4:16-cv-03092,ned,2016,4:16-cv-03092,1,03/01/2017,Terminated case pursuant to order of Judge Kopf in case number 4:09CR3132 dismissing,17,101,Terminated case pursuant to order of Judge,Kopf,in case number 4:09CR3132 dismissing,60,64,line_entry,SPACY JNLP2
ned;;8:16-cr-00201,ned,2016,8:16-cr-00201,5,07/06/2016,", Omaha, NE before Magistrate Judge F.A. Gossett. Ordered by Magistrate Judge Thomas D",162,248,", Omaha, NE before Magistrate Judge",F.A. Gossett,. Ordered by Magistrate Judge Thomas D,198,210,line_entry,SPACY JNLP2
ned;;8:16-cr-00201,ned,2016,8:16-cr-00201,5,07/06/2016,. Gossett. Ordered by Magistrate Judge Thomas D. Thalken. (MBM) (Entered:,201,274,. Gossett. Ordered by Magistrate Judge,Thomas D. Thalken,. (MBM) (Entered:,240,257,line_entry,SPACY JNLP2
ned;;8:16-cr-00201,ned,2016,8:16-cr-00201,7,07/07/2016,ad prosequendum. Ordered by Magistrate Judge Thomas D. Thalken. (E-mailed to USM,81,161,ad prosequendum. Ordered by Magistrate Judge,Thomas D. Thalken,. (E-mailed to USM,126,143,line_entry,SPACY JNLP2
ned;;8:16-cr-00201,ned,2016,8:16-cr-00201,9,07/08/2016,Miguel Monteon. Ordered by Magistrate Judge F.A. Gossett. (SLP) (Entered:,155,228,Miguel Monteon. Ordered by Magistrate Judge,F.A. Gossett,. (SLP) (Entered:,199,211,line_entry,SPACY JNLP2
ned;;8:16-cr-00201,ned,2016,8:16-cr-00201,11,07/08/2016,/8/2016 before Magistrate Judge F.A. Gossett as to defendant Miguel Monteon. Initial,43,127,/8/2016 before Magistrate Judge,F.A. Gossett,as to defendant Miguel Monteon. Initial,75,87,line_entry,SPACY JNLP2
ned;;8:16-cr-00201,ned,2016,8:16-cr-00201,13,07/08/2016,the defendant. Ordered by Magistrate Judge F.A. Gossett. (SLP) (Entered:,336,408,the defendant. Ordered by Magistrate Judge,F.A. Gossett,. (SLP) (Entered:,379,391,line_entry,SPACY JNLP2
ned;;8:16-cr-00201,ned,2016,8:16-cr-00201,14,07/08/2016,/2016. Ordered by Magistrate Judge F.A. Gossett. (SLP) (Entered:,136,200,/2016. Ordered by Magistrate Judge,F.A. Gossett,. (SLP) (Entered:,171,183,line_entry,SPACY JNLP2
ned;;8:16-cr-00201,ned,2016,8:16-cr-00201,19,07/19/2016,the defendant. Ordered by Magistrate Judge Thomas D. Thalken. (MBM) (Entered:,187,264,the defendant. Ordered by Magistrate Judge,Thomas D. Thalken,. (MBM) (Entered:,230,247,line_entry,SPACY JNLP2
ned;;8:16-cr-00201,ned,2016,8:16-cr-00201,21,07/25/2016,Trial Act. Ordered by Magistrate Judge Thomas D. Thalken. (MBM) (Entered:,352,425,Trial Act. Ordered by Magistrate Judge,Thomas D. Thalken,. (MBM) (Entered:,391,408,line_entry,SPACY JNLP2
