ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,2,04/08/2016,Minutes for proceedings held before Magistrate Judge B. Paul Briones: Initial Appearance as to Leonard Dodge,8,116,Minutes for proceedings held before Magistrate Judge,B. Paul Briones,: Initial Appearance as to Leonard Dodge,61,76,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,4,04/11/2016,as to Leonard Dodge by Magistrate Judge B. Paul Briones Preliminary/Detention Hearing set for 4,34,129,as to Leonard Dodge by Magistrate Judge,B. Paul Briones,Preliminary/Detention Hearing set for 4,74,89,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,4,04/11/2016,- 520 Gila Courtroom before Magistrate Judge Laura Fashing. (cl)[THIS IS,165,237,- 520 Gila Courtroom before Magistrate Judge,Laura Fashing,. (cl)[THIS IS,210,223,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,5,04/11/2016,Fooks for Leonard Dodge by Magistrate Judge B. Paul Briones (cl)[THIS IS A,47,121,Fooks for Leonard Dodge by Magistrate Judge,B. Paul Briones,(cl)[THIS IS A,91,106,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,7,04/12/2016,Minutes for proceedings held before Magistrate Judge Laura Fashing: Preliminary Hearing as to Leonard Dodge,8,115,Minutes for proceedings held before Magistrate Judge,Laura Fashing,: Preliminary Hearing as to Leonard Dodge,61,74,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,7,04/12/2016,- 520 Gila Courtroom before Magistrate Judge Laura Fashing. (Recording Info: Gila -,200,283,- 520 Gila Courtroom before Magistrate Judge,Laura Fashing,. (Recording Info: Gila -,245,258,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,8,04/14/2016,Minutes for proceedings held before Magistrate Judge Laura Fashing: Detention Hearing as to Leonard Dodge,8,113,Minutes for proceedings held before Magistrate Judge,Laura Fashing,: Detention Hearing as to Leonard Dodge,61,74,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,9,04/14/2016,as to Leonard Dodge by Magistrate Judge Laura Fashing (nm) [1:16,19,83,as to Leonard Dodge by Magistrate Judge,Laura Fashing,(nm) [1:16,59,72,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,11,04/26/2016,as to Leonard Dodge. District Judge William P. Johnson added. (eh) (Entered,21,96,as to Leonard Dodge. District Judge,William P. Johnson,added. (eh) (Entered,57,75,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,13,04/27/2016,- 520 Gila Courtroom before Magistrate Judge Steven C. Yarbrough. [Interpreter Needed](eh,95,184,- 520 Gila Courtroom before Magistrate Judge,Steven C. Yarbrough,. [Interpreter Needed](eh,140,159,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,14,05/04/2016,Clerk's Minutes before Magistrate Judge Steven C. Yarbrough: Arraignment as to Leonard Dodge (,0,94,Clerk's Minutes before Magistrate Judge,Steven C. Yarbrough,: Arraignment as to Leonard Dodge (,40,59,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,15,05/04/2016,as to Leonard Dodge by Magistrate Judge Steven C. Yarbrough (kd) (Entered: 05,16,93,as to Leonard Dodge by Magistrate Judge,Steven C. Yarbrough,(kd) (Entered: 05,56,75,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,16,05/05/2016,- 540 Bonito Courtroom before District Judge William P. Johnson. Jury Selection/Trial set for,104,197,- 540 Bonito Courtroom before District Judge,William P. Johnson,. Jury Selection/Trial set for,149,167,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,16,05/05/2016,- 540 Bonito Courtroom before District Judge William P. Johnson. [Interpreter Needed](rwg,233,322,- 540 Bonito Courtroom before District Judge,William P. Johnson,. [Interpreter Needed](rwg,278,296,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,19,06/23/2016,Fisher for Leonard Dodge by District Judge William P. Johnson (kg)[THIS IS A,39,115,Fisher for Leonard Dodge by District Judge,William P. Johnson,(kg)[THIS IS A,82,100,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,21,06/24/2016,- Ends of Justice by District Judge William P. Johnson granting 18 MOTION to Continue Jury Trial,18,114,- Ends of Justice by District Judge,William P. Johnson,granting 18 MOTION to Continue Jury Trial,54,72,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,22,06/27/2016,1:30 PM before District Judge William P. Johnson. Counsel are directed to phone the,103,186,1:30 PM before District Judge,William P. Johnson,. Counsel are directed to phone the,133,151,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,23,07/05/2016,Minutes for proceedings held before District Judge William P. Johnson: Telephonic Scheduling Conference as to Leonard,8,125,Minutes for proceedings held before District Judge,William P. Johnson,: Telephonic Scheduling Conference as to Leonard,59,77,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,24,09/14/2016,as to Leonard Dodge by District Judge William P. Johnson (vv) (Entered: 09,17,91,as to Leonard Dodge by District Judge,William P. Johnson,(vv) (Entered: 09,55,73,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,25,09/14/2016,- 540 Bonito Courtroom before District Judge William P. Johnson. (kg) (Entered:,100,179,- 540 Bonito Courtroom before District Judge,William P. Johnson,. (kg) (Entered:,145,163,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,27,01/12/2017,1:30 PM before District Judge William P. Johnson. The Court waives the Defendant's,166,248,1:30 PM before District Judge,William P. Johnson,. The Court waives the Defendant's,196,214,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,28,01/17/2017,Minutes for proceedings held before District Judge William P. Johnson: Telephonic Motion Hearing as to Leonard,8,118,Minutes for proceedings held before District Judge,William P. Johnson,: Telephonic Motion Hearing as to Leonard,59,77,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,29,06/19/2017,- 540 Bonito Courtroom before District Judge William P. Johnson. The Court waives the Defendant's,112,209,- 540 Bonito Courtroom before District Judge,William P. Johnson,. The Court waives the Defendant's,157,175,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,30,06/20/2017,Minutes for proceedings held before District Judge William P. Johnson: Telephonic Status Conference as to Leonard,8,121,Minutes for proceedings held before District Judge,William P. Johnson,: Telephonic Status Conference as to Leonard,59,77,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,33,07/13/2017,ORDER by District Judge William P. Johnson granting 35 Motion to Designate Case Complex,0,87,ORDER by District Judge,William P. Johnson,granting 35 Motion to Designate Case Complex,24,42,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,34,07/24/2017,ORDER by District Judge William P. Johnson granting 36 Joint Motion for an Order,0,80,ORDER by District Judge,William P. Johnson,granting 36 Joint Motion for an Order,24,42,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,35,07/24/2017,SECOND AMENDED SCHEDULING ORDER by District Judge William P. Johnson. Jury Selection/Trial set for,0,98,SECOND AMENDED SCHEDULING ORDER by District Judge,William P. Johnson,. Jury Selection/Trial set for,50,68,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,35,07/24/2017,- 540 Bonito Courtroom before District Judge William P. Johnson. Pretrial Conference set for 1/,135,230,- 540 Bonito Courtroom before District Judge,William P. Johnson,. Pretrial Conference set for 1/,180,198,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,35,07/24/2017,- 540 Bonito Courtroom before District Judge William P. Johnson. See Order for further deadlines.,265,362,- 540 Bonito Courtroom before District Judge,William P. Johnson,. See Order for further deadlines.,310,328,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,37,10/12/2017,- 540 Bonito Courtroom before District Judge William P. Johnson. (rwg)[THIS IS,159,237,- 540 Bonito Courtroom before District Judge,William P. Johnson,. (rwg)[THIS IS,204,222,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,38,10/23/2017,MEMORANDUM OPINION AND ORDER by District Judge William P. Johnson GRANTING IN PART 38 Defendant's Opposed,0,105,MEMORANDUM OPINION AND ORDER by District Judge,William P. Johnson,GRANTING IN PART 38 Defendant's Opposed,47,65,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,39,10/23/2017,Minutes for proceedings held before District Judge William P. Johnson: Motion Hearing as to Leonard Dodge,8,113,Minutes for proceedings held before District Judge,William P. Johnson,: Motion Hearing as to Leonard Dodge,59,77,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,41,01/30/2018,ORDER by the direction of District Judge William P. Johnson as to Leonard Dodge: The Court,7,97,ORDER by the direction of District Judge,William P. Johnson,as to Leonard Dodge: The Court,48,66,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,41,01/30/2018,9:00 AM before District Judge William P. Johnson. Counsel are directed to phone the,204,287,9:00 AM before District Judge,William P. Johnson,. Counsel are directed to phone the,234,252,line_entry,SPACY JNLP2
nmd;;1:16-cr-01697,nmd,2016,1:16-cr-01697,42,01/31/2018,Minutes for proceedings held before District Judge William P. Johnson: Telephonic Status Conference as to Leonard,8,121,Minutes for proceedings held before District Judge,William P. Johnson,: Telephonic Status Conference as to Leonard,59,77,line_entry,SPACY JNLP2
