ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
nyed;;2:16-cv-05153,nyed,2016,2:16-cv-05153,2,09/21/2016,Case Assigned to Judge Leonard D. Wexler and Magistrate Judge Gary R. Brown,0,75,Case Assigned to Judge,Leonard D. Wexler,and Magistrate Judge Gary R. Brown,23,40,line_entry,SPACY JNLP2
nyed;;2:16-cv-05153,nyed,2016,2:16-cv-05153,2,09/21/2016,Leonard D. Wexler and Magistrate Judge Gary R. Brown. Please download and review the Individual,23,118,Leonard D. Wexler and Magistrate Judge,Gary R. Brown,. Please download and review the Individual,62,75,line_entry,SPACY JNLP2
nyed;;2:16-cv-05153,nyed,2016,2:16-cv-05153,6,10/05/2016,with prejudice. Ordered by Magistrate Judge Gary R. Brown on 10/5/2016.,336,407,with prejudice. Ordered by Magistrate Judge,Gary R. Brown,on 10/5/2016.,380,393,line_entry,SPACY JNLP2
nyed;;2:16-cv-02984,nyed,2016,2:16-cv-02984,3,06/09/2016,Case Assigned to Judge Joseph F. Bianco and Magistrate Judge Steven I. Locke,0,76,Case Assigned to Judge,Joseph F. Bianco,and Magistrate Judge Steven I. Locke,23,39,line_entry,SPACY JNLP2
nyed;;2:16-cv-02984,nyed,2016,2:16-cv-02984,3,06/09/2016,Joseph F. Bianco and Magistrate Judge Steven I. Locke. Please download and review the Individual,23,119,Joseph F. Bianco and Magistrate Judge,Steven I. Locke,. Please download and review the Individual,61,76,line_entry,SPACY JNLP2
nyed;;2:16-cv-02984,nyed,2016,2:16-cv-02984,12,12/14/2016,papers on defendants.. Ordered by Judge Joseph F. Bianco on 12/14/2016.,312,383,papers on defendants.. Ordered by Judge,Joseph F. Bianco,on 12/14/2016.,352,368,line_entry,SPACY JNLP2
nyed;;2:16-cv-02984,nyed,2016,2:16-cv-02984,16,01/03/2017,. SO ORDERED. Ordered by Judge Joseph F. Bianco on 1/3/2017.,376,436,. SO ORDERED. Ordered by Judge,Joseph F. Bianco,on 1/3/2017.,407,423,line_entry,SPACY JNLP2
nyed;;2:16-cv-02984,nyed,2016,2:16-cv-02984,22,05/15/2017,Set Aside Default. Ordered by Judge Joseph F. Bianco on 5/15/2017.,68,134,Set Aside Default. Ordered by Judge,Joseph F. Bianco,on 5/15/2017.,104,120,line_entry,SPACY JNLP2
nyed;;2:16-cv-02984,nyed,2016,2:16-cv-02984,26,06/20/2017,"2017 in courtroom 820 before Magistrate Judge Steven I. Locke, See order and attachments. Ordered",81,178,2017 in courtroom 820 before Magistrate Judge,Steven I. Locke,", See order and attachments. Ordered",127,142,line_entry,SPACY JNLP2
nyed;;2:16-cv-02984,nyed,2016,2:16-cv-02984,26,06/20/2017,and attachments. Ordered by Magistrate Judge Steven I. Locke on 6/20/2017.,154,228,and attachments. Ordered by Magistrate Judge,Steven I. Locke,on 6/20/2017.,199,214,line_entry,SPACY JNLP2
nyed;;2:16-cv-02984,nyed,2016,2:16-cv-02984,30,08/07/2017,Order for proceedings held before Magistrate Judge Steven I. Locke:Initial Conference Hearing held on 8,7,110,Order for proceedings held before Magistrate Judge,Steven I. Locke,:Initial Conference Hearing held on 8,58,73,line_entry,SPACY JNLP2
