ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,4,11/10/2016,"by Court Clerk:, recusing Judge Claire V Eagan. Chief Judge Gregory K Frizzell reassigned",13,102,"by Court Clerk:, recusing Judge",Claire V Eagan,. Chief Judge Gregory K Frizzell reassigned,45,59,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,4,11/10/2016,"Judge Claire V Eagan. Chief Judge Gregory K Frizzell reassigned to case., changing case",39,126,Judge Claire V Eagan. Chief Judge,Gregory K Frizzell,"reassigned to case., changing case",73,91,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,12,12/09/2016,MINUTE ORDER by Chief Judge Gregory K Frizzell (re Amy E. Jensen),0,65,MINUTE ORDER by Chief Judge,Gregory K Frizzell,(re Amy E. Jensen),28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,14,12/27/2016,MINUTE ORDER by Chief Judge Gregory K Frizzell ; setting/resetting deadline(s,0,77,MINUTE ORDER by Chief Judge,Gregory K Frizzell,; setting/resetting deadline(s,28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,16,01/04/2017,"ORDER by Chief Judge Gregory K Frizzell, directing parties to file joint status",0,79,ORDER by Chief Judge,Gregory K Frizzell,", directing parties to file joint status",21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,18,01/04/2017,ORDER by Chief Judge Gregory K Frizzell ; granting 7 Motion to Dismiss (,0,72,ORDER by Chief Judge,Gregory K Frizzell,; granting 7 Motion to Dismiss (,21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,20,01/25/2017,"SCHEDULING ORDER by Chief Judge Gregory K Frizzell, setting/resetting deadline(s",0,80,SCHEDULING ORDER by Chief Judge,Gregory K Frizzell,", setting/resetting deadline(s",32,50,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,20,01/25/2017,"09:30 AM before Chief Judge Gregory K Frizzell), setting/resetting scheduling order",140,223,09:30 AM before Chief Judge,Gregory K Frizzell,"), setting/resetting scheduling order",168,186,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,20,01/25/2017,"01:30 PM before Chief Judge Gregory K Frizzell, Jury Trial set for 12/",385,455,01:30 PM before Chief Judge,Gregory K Frizzell,", Jury Trial set for 12/",413,431,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,20,01/25/2017,"09:30 AM before Chief Judge Gregory K Frizzell) (kjp, Dpty Clk)",466,529,09:30 AM before Chief Judge,Gregory K Frizzell,") (kjp, Dpty Clk)",494,512,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,23,03/02/2017,"SETTLEMENT CONFERENCE ORDER by Magistrate Judge Paul J Cleary, setting/resetting deadline(s",0,91,SETTLEMENT CONFERENCE ORDER by Magistrate Judge,Paul J Cleary,", setting/resetting deadline(s",48,61,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,25,04/11/2017,PROTECTIVE ORDER by Magistrate Judge T Lane Wilson ; granting 24 Motion for Protective Order,0,92,PROTECTIVE ORDER by Magistrate Judge,T Lane Wilson,; granting 24 Motion for Protective Order,37,50,line_entry,SPACY JNLP2
