ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,2,03/25/2016,ORDER OF RECUSAL. Signed by Honorable Tim Leonard on 03/25/16.,0,62,ORDER OF RECUSAL. Signed by Honorable,Tim Leonard,on 03/25/16.,38,49,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,3,03/25/2016,REASSIGNING CASE. Case reassigned to Honorable Lee R. West for all further proceedings. Honorable Tim,6,107,REASSIGNING CASE. Case reassigned to Honorable,Lee R. West,for all further proceedings. Honorable Tim,53,64,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,3,03/25/2016,West for all further proceedings. Honorable Tim Leonard no longer assigned to case. Signed,60,150,West for all further proceedings. Honorable,Tim Leonard,no longer assigned to case. Signed,104,115,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,3,03/25/2016,assigned to case. Signed by Honorable Tim Leonard on 03/25/16.,126,188,assigned to case. Signed by Honorable,Tim Leonard,on 03/25/16.,164,175,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,5,03/25/2016,ORDER OF RECUSAL. Signed by Honorable Lee R. West on 03/25/16.,0,62,ORDER OF RECUSAL. Signed by Honorable,Lee R. West,on 03/25/16.,38,49,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,6,03/25/2016,REASSIGNING CASE. Case reassigned to Honorable Stephen P. Friot for all further proceedings. Honorable Lee,6,112,REASSIGNING CASE. Case reassigned to Honorable,Stephen P. Friot,for all further proceedings. Honorable Lee,53,69,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,6,03/25/2016,Friot for all further proceedings. Honorable Lee R. West no longer assigned to case. Signed,64,155,Friot for all further proceedings. Honorable,Lee R. West,no longer assigned to case. Signed,109,120,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,6,03/25/2016,assigned to case. Signed by Honorable Lee R. West on 03/25/16.,131,193,assigned to case. Signed by Honorable,Lee R. West,on 03/25/16.,169,180,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,7,03/28/2016,REASSIGNING CASE. Case reassigned to Honorable Vicki Miles-LaGrange for all further proceedings. Honorable Stephen,12,126,REASSIGNING CASE. Case reassigned to Honorable,Vicki Miles-LaGrange,for all further proceedings. Honorable Stephen,59,79,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,7,03/28/2016,LaGrange for all further proceedings. Honorable Stephen P. Friot no longer assigned to case. Entered,71,171,LaGrange for all further proceedings. Honorable,Stephen P. Friot,no longer assigned to case. Entered,119,135,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,7,03/28/2016,. Entered at the direction of Honorable Stephen P. Friot on 3/28/16.,162,230,. Entered at the direction of Honorable,Stephen P. Friot,on 3/28/16.,202,218,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,22,04/01/2016,set out). Signed by Honorable Vicki Miles-LaGrange on 4/1/2016.,164,227,set out). Signed by Honorable,Vicki Miles-LaGrange,on 4/1/2016.,194,214,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,23,04/01/2016,83.4. Signed by Honorable Vicki Miles-LaGrange on 4/1/2016.,416,475,83.4. Signed by Honorable,Vicki Miles-LaGrange,on 4/1/2016.,442,462,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,30,04/06/2016,83.4. Signed by Honorable Vicki Miles-LaGrange on 4/6/2016.,375,434,83.4. Signed by Honorable,Vicki Miles-LaGrange,on 4/6/2016.,401,421,line_entry,SPACY JNLP2
okwd;;5:16-cv-00284,okwd,2016,5:16-cv-00284,35,04/15/2016,set out). Signed by Honorable Vicki Miles-LaGrange on 4/15/2016.,104,168,set out). Signed by Honorable,Vicki Miles-LaGrange,on 4/15/2016.,134,154,line_entry,SPACY JNLP2
okwd;;5:16-cv-00447,okwd,2016,5:16-cv-00447,2,05/02/2016,ORDER REFERRING CASE to Magistrate Judge Shon T. Erwin.. Signed by Honorable David L.,0,85,ORDER REFERRING CASE to Magistrate Judge,Shon T. Erwin,.. Signed by Honorable David L.,41,54,line_entry,SPACY JNLP2
