ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,3,11/28/2016,Notice of Case Assignment to Judge Michael W. Mosman and Discovery and Pretrial Scheduling Order.,0,97,Notice of Case Assignment to Judge,Michael W. Mosman,and Discovery and Pretrial Scheduling Order.,35,52,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,3,11/28/2016,27/2017. Ordered by Judge Michael W. Mosman. (dsg) (Entered:,231,291,27/2017. Ordered by Judge,Michael W. Mosman,. (dsg) (Entered:,257,274,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,5,12/01/2016,23/2016. Ordered by Judge Michael W. Mosman. (dls) (Entered:,79,139,23/2016. Ordered by Judge,Michael W. Mosman,. (dls) (Entered:,105,122,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,12,03/22/2017,26/2017. Ordered by Judge Michael W. Mosman. (rs) (Entered:,310,369,26/2017. Ordered by Judge,Michael W. Mosman,. (rs) (Entered:,336,353,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,13,03/22/2017,soon as possible. Ordered by Judge Michael W. Mosman. (rs) (Entered:,136,204,soon as possible. Ordered by Judge,Michael W. Mosman,. (rs) (Entered:,171,188,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,28,05/25/2017,26/2017. Ordered by Judge Michael W. Mosman. (rs) (Entered:,264,323,26/2017. Ordered by Judge,Michael W. Mosman,. (rs) (Entered:,290,307,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,32,06/29/2017,24/2017. Ordered by Judge Michael W. Mosman. (pg) (Entered:,249,308,24/2017. Ordered by Judge,Michael W. Mosman,. (pg) (Entered:,275,292,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,35,09/21/2017,31/2018. Ordered by Judge Michael W. Mosman. (kms) (Entered:,290,350,31/2018. Ordered by Judge,Michael W. Mosman,. (kms) (Entered:,316,333,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,37,10/03/2017,10/3/2017 by Judge Michael W. Mosman. (kms) (Entered:,39,92,10/3/2017 by Judge,Michael W. Mosman,. (kms) (Entered:,58,75,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,39,11/20/2017,11/20/2017 by Judge Michael W. Mosman. (kms) (Entered:,52,106,11/20/2017 by Judge,Michael W. Mosman,. (kms) (Entered:,72,89,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,42,01/23/2018,Scheduling Order by Judge Michael W. Mosman. Telephone Status Conference is set for,0,83,Scheduling Order by Judge,Michael W. Mosman,. Telephone Status Conference is set for,26,43,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,42,01/23/2018,2018 at 02:30PM before Judge Michael W. Mosman. Ordered by Judge Michael W.,89,164,2018 at 02:30PM before Judge,Michael W. Mosman,. Ordered by Judge Michael W.,118,135,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,42,01/23/2018,W. Mosman. Ordered by Judge Michael W. Mosman. (kms) (Entered:,126,188,W. Mosman. Ordered by Judge,Michael W. Mosman,. (kms) (Entered:,154,171,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,44,01/30/2018,00PM in Portland Courtroom 16 before Judge Michael W. Mosman. 6-days Jury Trial is,547,629,00PM in Portland Courtroom 16 before Judge,Michael W. Mosman,. 6-days Jury Trial is,590,607,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,44,01/30/2018,00AM in Portland Courtroom 16 before Judge Michael W. Mosman. Trial Management Order to follow.,655,750,00AM in Portland Courtroom 16 before Judge,Michael W. Mosman,. Trial Management Order to follow.,698,715,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,44,01/30/2018,Court Reporter Bonita Shumway.)Judge Michael W. Mosman presiding. (dls) Modified on,916,999,Court Reporter Bonita Shumway.)Judge,Michael W. Mosman,presiding. (dls) Modified on,953,970,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,45,02/07/2018,2/7/2018 by Judge Michael W. Mosman. (mjp) (Entered:,34,86,2/7/2018 by Judge,Michael W. Mosman,. (mjp) (Entered:,52,69,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,46,02/07/2018,2/7/2018 by Judge Michael W. Mosman. (mjp) (Entered:,22,74,2/7/2018 by Judge,Michael W. Mosman,. (mjp) (Entered:,40,57,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,47,03/14/2018,Scheduling Order by Judge Michael W. Mosman. The Pretrial Conference is reset from,0,82,Scheduling Order by Judge,Michael W. Mosman,. The Pretrial Conference is reset from,26,43,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,47,03/14/2018,00PM in Portland Courtroom 16 before Judge Michael W. Mosman. The 6-day Jury Trial,149,231,00PM in Portland Courtroom 16 before Judge,Michael W. Mosman,. The 6-day Jury Trial,192,209,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,47,03/14/2018,00AM in Portland Courtroom 16 before Judge Michael W. Mosman. Amended Trial Management Order to follow,293,395,00AM in Portland Courtroom 16 before Judge,Michael W. Mosman,. Amended Trial Management Order to follow,336,353,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,47,03/14/2018,Order to follow. Ordered by Judge Michael W. Mosman. (dls) (Entered:,380,448,Order to follow. Ordered by Judge,Michael W. Mosman,. (dls) (Entered:,414,431,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,48,03/15/2018,3/15/2018 by Judge Michael W. Mosman. (pg) (Entered:,43,95,3/15/2018 by Judge,Michael W. Mosman,. (pg) (Entered:,62,79,line_entry,SPACY JNLP2
ord;;3:16-cv-02213,ord,2016,3:16-cv-02213,49,03/26/2018,Scheduling Order by Judge Michael W. Mosman. The 6-day Jury Trial,0,65,Scheduling Order by Judge,Michael W. Mosman,. The 6-day Jury Trial,26,43,line_entry,SPACY JNLP2
