ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
paed;;2:16-cv-00445,paed,2016,2:16-cv-00445,0,01/26/2016,"Copy of Order from Judge Brody, dated 12/1/15",0,45,Copy of Order from Judge,Brody,", dated 12/1/15",25,30,line_entry,SPACY JNLP2
paed;;2:16-cv-00445,paed,2016,2:16-cv-00445,3,01/27/2016,"Copy of Order from Judge Brody, dated 1/27/16",0,45,Copy of Order from Judge,Brody,", dated 1/27/16",25,30,line_entry,SPACY JNLP2
paed;;2:16-cv-00445,paed,2016,2:16-cv-00445,4,08/11/2016,AND AMENDED COMPLAINT. SIGNED BY HONORABLE ANITA B. BRODY ON 8/11/2016.,222,293,AND AMENDED COMPLAINT. SIGNED BY HONORABLE,ANITA B. BRODY,ON 8/11/2016.,265,279,line_entry,SPACY JNLP2
paed;;2:16-cv-01255,paed,2016,2:16-cv-01255,3,04/25/2016,2016 11:00 AM IN JUDGE CHAMBERS (ROOM 9613) BEFORE HONORABLE GERALD,52,119,2016 11:00 AM IN JUDGE,CHAMBERS,(ROOM 9613) BEFORE HONORABLE GERALD,75,83,line_entry,SPACY JNLP2
paed;;2:16-cv-01255,paed,2016,2:16-cv-01255,3,04/25/2016,"CHAMBERS (ROOM 9613) BEFORE HONORABLE GERALD A. MCHUGH.(pc, ) (Entered",75,145,CHAMBERS (ROOM 9613) BEFORE HONORABLE,GERALD A. MCHUGH,".(pc, ) (Entered",113,129,line_entry,SPACY JNLP2
paed;;2:16-cv-01255,paed,2016,2:16-cv-01255,4,05/02/2016,A.M. SIGNED BY HONORABLE GERALD A. MCHUGH ON 5/2/16.,97,149,A.M. SIGNED BY HONORABLE,GERALD A. MCHUGH,ON 5/2/16.,122,138,line_entry,SPACY JNLP2
paed;;2:16-cv-01255,paed,2016,2:16-cv-01255,6,06/21/2016,Prerial Conference for proceedings held before HONORABLE GERALD A. MCHUGH on 6/21/16.,13,98,Prerial Conference for proceedings held before HONORABLE,GERALD A. MCHUGH,on 6/21/16.,70,86,line_entry,SPACY JNLP2
paed;;2:16-cv-01255,paed,2016,2:16-cv-01255,7,06/21/2016,"THIS CASE IS REFERRED TO MAGISTRATE JUDGE LLORET FOR A SETTLEMENT CONFERENCE, ETC.",117,199,THIS CASE IS REFERRED TO MAGISTRATE JUDGE,LLORET,"FOR A SETTLEMENT CONFERENCE, ETC.",159,165,line_entry,SPACY JNLP2
paed;;2:16-cv-01255,paed,2016,2:16-cv-01255,7,06/21/2016,"B, ETC. SIGNED BY HONORABLE GERALD A. MCHUGH ON 6/21/16.",550,606,"B, ETC. SIGNED BY HONORABLE",GERALD A. MCHUGH,ON 6/21/16.,578,594,line_entry,SPACY JNLP2
paed;;2:16-cv-01255,paed,2016,2:16-cv-01255,10,10/24/2016,30/17. SIGNED BY HONORABLE GERALD A. MCHUGH ON 10/24/16.,212,268,30/17. SIGNED BY HONORABLE,GERALD A. MCHUGH,ON 10/24/16.,239,255,line_entry,SPACY JNLP2
paed;;2:16-cv-01255,paed,2016,2:16-cv-01255,11,01/18/2017,":00 a.m., before the Honorable Richard A. Lloret, United States Magistrate Judge, in",80,164,":00 a.m., before the Honorable",Richard A. Lloret,", United States Magistrate Judge, in",111,128,line_entry,SPACY JNLP2
paed;;2:16-cv-01255,paed,2016,2:16-cv-01255,12,01/25/2017,":00 p.m., before the Honorable Richard A. Lloret, United States Magistrate Judge. Please",122,210,":00 p.m., before the Honorable",Richard A. Lloret,", United States Magistrate Judge. Please",153,170,line_entry,SPACY JNLP2
paed;;2:16-cv-01255,paed,2016,2:16-cv-01255,13,03/08/2017,b). SIGNED BY MAGISTRATE JUDGE RICHARD A. LLORET ON 3/8/17.,67,126,b). SIGNED BY MAGISTRATE JUDGE,RICHARD A. LLORET,ON 3/8/17.,98,115,line_entry,SPACY JNLP2
paed;;2:16-cv-04170,paed,2016,2:16-cv-04170,3,09/07/2016,"that court, assigned to the Hon. John R. Tunheim. (fdc) (Entered:",325,390,"that court, assigned to the Hon",. John R. Tunheim,. (fdc) (Entered:,356,373,line_entry,SPACY JNLP2
paed;;5:16-cv-04483,paed,2016,5:16-cv-04483,9,10/18/2016,pretrial conference has been scheduled before Judge Edward G. Smith in the above-captioned case.,52,148,pretrial conference has been scheduled before Judge,Edward G. Smith,in the above-captioned case.,104,119,line_entry,SPACY JNLP2
paed;;5:16-cv-04483,paed,2016,5:16-cv-04483,11,11/10/2016,Minute Entry for proceedings held before HONORABLE EDWARD G. SMITH Initial Pretrial Conference held on 11/,0,106,Minute Entry for proceedings held before HONORABLE,EDWARD G. SMITH,Initial Pretrial Conference held on 11/,51,66,line_entry,SPACY JNLP2
paed;;5:16-cv-04483,paed,2016,5:16-cv-04483,12,11/10/2016,:00 AM IN EASTON BEFORE HONORABLE EDWARD G. SMITH. THIS CASE IS REFERRED TO UNITED,70,152,:00 AM IN EASTON BEFORE HONORABLE,EDWARD G. SMITH,. THIS CASE IS REFERRED TO UNITED,104,119,line_entry,SPACY JNLP2
paed;;5:16-cv-04483,paed,2016,5:16-cv-04483,12,11/10/2016,IS REFERRED TO UNITED STATES MAGISTRATE JUDGE MARILYN HEFFLEY FOR A SETTLEMENT CONFERENCE. THE SETTLEMENT,131,236,IS REFERRED TO UNITED STATES MAGISTRATE JUDGE,MARILYN HEFFLEY,FOR A SETTLEMENT CONFERENCE. THE SETTLEMENT,177,192,line_entry,SPACY JNLP2
paed;;5:16-cv-04483,paed,2016,5:16-cv-04483,12,11/10/2016,:30 AM IN BEFORE MAGISTRATE JUDGE MARILYN HEFFLEY. ALL FACT DISCOVERY DUE BY 3,274,352,:30 AM IN BEFORE MAGISTRATE JUDGE,MARILYN HEFFLEY,. ALL FACT DISCOVERY DUE BY 3,308,323,line_entry,SPACY JNLP2
paed;;5:16-cv-04483,paed,2016,5:16-cv-04483,12,11/10/2016,:30 AM IN Philadelphia BEFORE HONORABLE EDWARD G. SMITH. ANY DISPOSITIVE MOTIONS DUE BY 4,403,492,:30 AM IN Philadelphia BEFORE HONORABLE,EDWARD G. SMITH,. ANY DISPOSITIVE MOTIONS DUE BY 4,443,458,line_entry,SPACY JNLP2
paed;;5:16-cv-04483,paed,2016,5:16-cv-04483,12,11/10/2016,":30 AM IN EASTON BEFORE HONORABLE EDWARD G. SMITH, ETC. SIGNED BY HONORABLE EDWARD",661,743,:30 AM IN EASTON BEFORE HONORABLE,EDWARD G. SMITH,", ETC. SIGNED BY HONORABLE EDWARD",695,710,line_entry,SPACY JNLP2
