ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
prd;;3:16-cv-02232,prd,2016,3:16-cv-02232,1,06/30/2016,ASSIGNMENT Case has been assigned to Judge Jay A. Garcia-Gregory (arg) (Entered: 06,16,99,ASSIGNMENT Case has been assigned to Judge,Jay A. Garcia-Gregory,(arg) (Entered: 06,59,80,line_entry,SPACY JNLP2
prd;;3:16-cv-02232,prd,2016,3:16-cv-02232,4,10/31/2016,File Amended Complaint. Signed by Judge Jay A. Garcia-Gregory on 10/31/2016.,37,113,File Amended Complaint. Signed by Judge,Jay A. Garcia-Gregory,on 10/31/2016.,77,98,line_entry,SPACY JNLP2
prd;;3:16-cv-02232,prd,2016,3:16-cv-02232,9,01/05/2017,Service by Publication. Signed by Judge Jay A. Garcia-Gregory on 1/5/2017.,28,102,Service by Publication. Signed by Judge,Jay A. Garcia-Gregory,on 1/5/2017.,68,89,line_entry,SPACY JNLP2
prd;;3:16-cv-02232,prd,2016,3:16-cv-02232,12,02/07/2017,Time to Answer. Signed by Judge Jay A. Garcia-Gregory on 2/7/2017.,42,108,Time to Answer. Signed by Judge,Jay A. Garcia-Gregory,on 2/7/2017.,74,95,line_entry,SPACY JNLP2
prd;;3:16-cv-02232,prd,2016,3:16-cv-02232,14,03/02/2017,extension of time. Signed by Judge Jay A. Garcia-Gregory on 3/2/2017.,29,98,extension of time. Signed by Judge,Jay A. Garcia-Gregory,on 3/2/2017.,64,85,line_entry,SPACY JNLP2
prd;;3:16-cv-02232,prd,2016,3:16-cv-02232,18,04/04/2017,3/2017. Signed by Judge Jay A. Garcia-Gregory on 4/4/2017.,57,115,3/2017. Signed by Judge,Jay A. Garcia-Gregory,on 4/4/2017.,81,102,line_entry,SPACY JNLP2
prd;;3:16-cv-02232,prd,2016,3:16-cv-02232,20,07/05/2017,14/2017. Signed by Judge Jay A. Garcia-Gregory on 7/5/2017.,75,134,14/2017. Signed by Judge,Jay A. Garcia-Gregory,on 7/5/2017.,100,121,line_entry,SPACY JNLP2
prd;;3:16-cv-02232,prd,2016,3:16-cv-02232,22,10/23/2017,Motion In Compliance. Signed by Judge Jay A. Garcia-Gregory on 10/23/2017.,15,89,Motion In Compliance. Signed by Judge,Jay A. Garcia-Gregory,on 10/23/2017.,53,74,line_entry,SPACY JNLP2
prd;;3:16-cv-02232,prd,2016,3:16-cv-02232,23,10/23/2017,No. 20. Signed by Judge Jay A. Garcia-Gregory on 10/23/2017.,70,130,No. 20. Signed by Judge,Jay A. Garcia-Gregory,on 10/23/2017.,94,115,line_entry,SPACY JNLP2
prd;;3:16-cv-02232,prd,2016,3:16-cv-02232,24,10/23/2017,ORDER REFERRING CASE to Magistrate Judge Velez-Rive for a Mediation Hearing and an ISC,0,86,ORDER REFERRING CASE to Magistrate Judge,Velez-Rive,for a Mediation Hearing and an ISC,41,51,line_entry,SPACY JNLP2
