ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
tnwd;;2:16-cv-02167,tnwd,2016,2:16-cv-02167,1,03/16/2016,"Judge Samuel H. Mays, Jr and Magistrate Judge Charmiane G. Claxton",0,66,Judge,"Samuel H. Mays, Jr",and Magistrate Judge Charmiane G. Claxton,6,24,line_entry,SPACY JNLP2
tnwd;;2:16-cv-02167,tnwd,2016,2:16-cv-02167,1,03/16/2016,". Mays, Jr and Magistrate Judge Charmiane G. Claxton added. (jld) (Entered",14,88,". Mays, Jr and Magistrate Judge",Charmiane G. Claxton,added. (jld) (Entered,46,66,line_entry,SPACY JNLP2
tnwd;;2:16-cv-02167,tnwd,2016,2:16-cv-02167,8,12/27/2017,"STATES TO RESPOND, signed by Judge Samuel H. Mays, Jr. on 12/27/2017.",23,92,"STATES TO RESPOND, signed by Judge","Samuel H. Mays, Jr.",on 12/27/2017.,58,77,line_entry,SPACY JNLP2
tnwd;;2:16-cv-02167,tnwd,2016,2:16-cv-02167,10,04/16/2018,"in forma pauperis. Signed by Judge Samuel H. Mays, Jr on 4/16/2018.",155,222,in forma pauperis. Signed by Judge,"Samuel H. Mays, Jr",on 4/16/2018.,190,208,line_entry,SPACY JNLP2
tnwd;;2:16-cv-02167,tnwd,2016,2:16-cv-02167,11,04/16/2018,"JUDGMENT, signed by Judge Samuel H. Mays, Jr. on 04/16/2018.",0,60,"JUDGMENT, signed by Judge","Samuel H. Mays, Jr.",on 04/16/2018.,26,45,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,2,03/22/2016,a.m. for initial appearance before Magistrate Judge Bryant. Copy of writ emailed to USMS,118,206,a.m. for initial appearance before Magistrate Judge,Bryant,. Copy of writ emailed to USMS,170,176,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,3,03/28/2016,Entry for proceedings held before Magistrate Judge Edward G. Bryant: Initial Appearance as to James Yants,7,112,Entry for proceedings held before Magistrate Judge,Edward G. Bryant,: Initial Appearance as to James Yants,58,74,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,3,03/28/2016,in Jackson Courtroom 3 before Magistrate Judge Edward G. Bryant. Dft remanded to custody of marshals,384,484,in Jackson Courtroom 3 before Magistrate Judge,Edward G. Bryant,. Dft remanded to custody of marshals,431,447,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,5,03/28/2016,James Yants. Signed by Magistrate Judge Edward G. Bryant on 03/28/16.,47,116,James Yants. Signed by Magistrate Judge,Edward G. Bryant,on 03/28/16.,87,103,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,6,03/28/2016,James Yants. Signed by Magistrate Judge Edward G. Bryant on 03/28/16.,35,104,James Yants. Signed by Magistrate Judge,Edward G. Bryant,on 03/28/16.,75,91,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,9,03/31/2016,Entry for proceedings held before Magistrate Judge Edward G. Bryant: Detention Hearing/Arraignment as to,7,111,Entry for proceedings held before Magistrate Judge,Edward G. Bryant,: Detention Hearing/Arraignment as to,58,74,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,10,03/31/2016,James Yants. Signed by Magistrate Judge Edward G. Bryant on 03/31/16.,25,94,James Yants. Signed by Magistrate Judge,Edward G. Bryant,on 03/31/16.,65,81,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,12,04/01/2016,in Jackson Courtroom 1 before Chief Judge J. Daniel Breen. (ejc) (Entered:,74,148,in Jackson Courtroom 1 before Chief Judge,J. Daniel Breen,. (ejc) (Entered:,116,131,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,15,05/11/2016,in Jackson Courtroom 1 before Chief Judge J. Daniel Breen. Time excluded from 5/13,132,214,in Jackson Courtroom 1 before Chief Judge,J. Daniel Breen,. Time excluded from 5/13,174,189,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,15,05/11/2016,/2016. Signed by Chief Judge J. Daniel Breen on 5/11/16.,230,286,/2016. Signed by Chief Judge,J. Daniel Breen,on 5/11/16.,259,274,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,16,05/19/2016,Entry for proceedings held before Chief Judge J. Daniel Breen and NOTICE OF RESETTING: Report Date,7,105,Entry for proceedings held before Chief Judge,J. Daniel Breen,and NOTICE OF RESETTING: Report Date,53,68,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,16,05/19/2016,in Jackson Courtroom 1 before Chief Judge J. Daniel Breen. Time excluded from 5/20,271,353,in Jackson Courtroom 1 before Chief Judge,J. Daniel Breen,. Time excluded from 5/20,313,328,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,17,06/30/2016,in Jackson Courtroom 1 before Chief Judge J. Daniel Breen. (ejc) (Entered:,119,193,in Jackson Courtroom 1 before Chief Judge,J. Daniel Breen,. (ejc) (Entered:,161,176,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,18,07/12/2016,Entry for proceedings held before Chief Judge J. Daniel Breen and NOTICE OF RESETTING: Report Date,7,105,Entry for proceedings held before Chief Judge,J. Daniel Breen,and NOTICE OF RESETTING: Report Date,53,68,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,18,07/12/2016,in Jackson Courtroom 1 before Chief Judge J. Daniel Breen. Time excluded from 7/12,323,405,in Jackson Courtroom 1 before Chief Judge,J. Daniel Breen,. Time excluded from 7/12,365,380,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,20,07/18/2016,REFERENCE 21 . Signed by Chief Judge J. Daniel Breen on 7/18/16.,9,73,REFERENCE 21 . Signed by Chief Judge,J. Daniel Breen,on 7/18/16.,46,61,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,21,07/18/2016,in Jackson Courtroom 3 before Magistrate Judge Edward G. Bryant. This is a text-only,125,209,in Jackson Courtroom 3 before Magistrate Judge,Edward G. Bryant,. This is a text-only,172,188,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,22,07/20/2016,Entry for proceedings held before Magistrate Judge Edward G. Bryant: Motion Hearing as to James Yants,7,108,Entry for proceedings held before Magistrate Judge,Edward G. Bryant,: Motion Hearing as to James Yants,58,74,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,23,07/20/2016,is attached. Signed by Magistrate Judge Edward G. Bryant on 07/20/16.,179,248,is attached. Signed by Magistrate Judge,Edward G. Bryant,on 07/20/16.,219,235,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,24,07/20/2016,'s Office. Signed by Magistrate Judge Edward G. Bryant on 07/20/16.,113,180,'s Office. Signed by Magistrate Judge,Edward G. Bryant,on 07/20/16.,151,167,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,28,08/05/2016,in Jackson Courtroom 1 before Chief Judge J. Daniel Breen. Time excluded from 8/5,144,225,in Jackson Courtroom 1 before Chief Judge,J. Daniel Breen,. Time excluded from 8/5,186,201,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,28,08/05/2016,/2016. Signed by Chief Judge J. Daniel Breen on 8/5/16.,241,296,/2016. Signed by Chief Judge,J. Daniel Breen,on 8/5/16.,270,285,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,30,08/12/2016,TRIAL MOTIONS. Signed by Chief Judge J. Daniel Breen on 8/12/16.,72,136,TRIAL MOTIONS. Signed by Chief Judge,J. Daniel Breen,on 8/12/16.,109,124,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,33,09/06/2016,1). Signed by Chief Judge J. Daniel Breen on 9/6/16.,101,153,1). Signed by Chief Judge,J. Daniel Breen,on 9/6/16.,127,142,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,34,09/19/2016,in Jackson Courtroom 1 before Chief Judge J. Daniel Breen. (ejc) (Entered:,134,208,in Jackson Courtroom 1 before Chief Judge,J. Daniel Breen,. (ejc) (Entered:,176,191,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,36,09/20/2016,in Jackson Courtroom 1 before Chief Judge J. Daniel Breen. Time excluded from 9/21,145,227,in Jackson Courtroom 1 before Chief Judge,J. Daniel Breen,. Time excluded from 9/21,187,202,line_entry,SPACY JNLP2
tnwd;;1:16-cr-10042,tnwd,2016,1:16-cr-10042,36,09/20/2016,/2016..Signed by Chief Judge J. Daniel Breen on 9/20/16.,244,300,/2016..Signed by Chief Judge,J. Daniel Breen,on 9/20/16.,273,288,line_entry,SPACY JNLP2
