ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
txnd;;5:16-cr-00059,txnd,2016,5:16-cr-00059,3,09/23/2016,"proceedings held before Unassigned VJDistrict (Hon. William R. Eichman, II, 364th District Court, Lubbock County",28,140,proceedings held before Unassigned VJDistrict (Hon,". William R. Eichman, II",", 364th District Court, Lubbock County",78,102,line_entry,SPACY JNLP2
txnd;;5:16-cr-00059,txnd,2016,5:16-cr-00059,3,09/23/2016,3) days. US Magistrate Judge will appoint counsel and set hearings. No,441,511,3) days. US Magistrate Judge,will,appoint counsel and set hearings. No,470,474,line_entry,SPACY JNLP2
txnd;;5:16-cr-00059,txnd,2016,5:16-cr-00059,5,09/26/2016,"appointed. (Ordered by Magistrate Judge D. Gordon Bryant, Jr on 9/26/2016)",119,193,appointed. (Ordered by Magistrate Judge,"D. Gordon Bryant, Jr",on 9/26/2016),159,179,line_entry,SPACY JNLP2
txnd;;5:16-cr-00059,txnd,2016,5:16-cr-00059,6,09/26/2016,TX 79401-4091 before Magistrate Judge D. Gordon Bryant Jr. Preliminary Hearing set for WEDNESDAY 9/,188,287,TX 79401-4091 before Magistrate Judge,D. Gordon Bryant Jr.,Preliminary Hearing set for WEDNESDAY 9/,226,246,line_entry,SPACY JNLP2
txnd;;5:16-cr-00059,txnd,2016,5:16-cr-00059,6,09/26/2016,TX 79401-4091 before Magistrate Judge D. Gordon Bryant Jr. (Ordered by Magistrate Judge D.,365,455,TX 79401-4091 before Magistrate Judge,D. Gordon Bryant Jr.,(Ordered by Magistrate Judge D.,403,423,line_entry,SPACY JNLP2
txnd;;5:16-cr-00059,txnd,2016,5:16-cr-00059,6,09/26/2016,"Bryant Jr. (Ordered by Magistrate Judge D. Gordon Bryant, Jr on 9/26/2016)",413,487,Bryant Jr. (Ordered by Magistrate Judge,"D. Gordon Bryant, Jr",on 9/26/2016),453,473,line_entry,SPACY JNLP2
txnd;;5:16-cr-00059,txnd,2016,5:16-cr-00059,7,09/26/2016,TX 79401-4091 before Magistrate Judge D. Gordon Bryant Jr. (Ordered by Magistrate Judge D.,158,248,TX 79401-4091 before Magistrate Judge,D. Gordon Bryant Jr.,(Ordered by Magistrate Judge D.,196,216,line_entry,SPACY JNLP2
txnd;;5:16-cr-00059,txnd,2016,5:16-cr-00059,7,09/26/2016,"Bryant Jr. (Ordered by Magistrate Judge D. Gordon Bryant, Jr on 9/26/2016)",206,280,Bryant Jr. (Ordered by Magistrate Judge,"D. Gordon Bryant, Jr",on 9/26/2016),246,266,line_entry,SPACY JNLP2
txnd;;5:16-cr-00059,txnd,2016,5:16-cr-00059,11,09/27/2016,TX 79401-4091 before Magistrate Judge D. Gordon Bryant Jr. Preliminary Hearing RE-SET for WEDNESDAY,186,285,TX 79401-4091 before Magistrate Judge,D. Gordon Bryant Jr.,Preliminary Hearing RE-SET for WEDNESDAY,224,244,line_entry,SPACY JNLP2
txnd;;5:16-cr-00059,txnd,2016,5:16-cr-00059,11,09/27/2016,TX 79401-4091 before Magistrate Judge D. Gordon Bryant Jr. (Ordered by Magistrate Judge D.,366,456,TX 79401-4091 before Magistrate Judge,D. Gordon Bryant Jr.,(Ordered by Magistrate Judge D.,404,424,line_entry,SPACY JNLP2
txnd;;5:16-cr-00059,txnd,2016,5:16-cr-00059,11,09/27/2016,"Bryant Jr. (Ordered by Magistrate Judge D. Gordon Bryant, Jr on 9/27/2016)",414,488,Bryant Jr. (Ordered by Magistrate Judge,"D. Gordon Bryant, Jr",on 9/27/2016),454,474,line_entry,SPACY JNLP2
txnd;;5:16-cr-00059,txnd,2016,5:16-cr-00059,13,10/03/2016,"USMS. (Ordered by Magistrate Judge D. Gordon Bryant, Jr on 10/3/2016)",458,527,USMS. (Ordered by Magistrate Judge,"D. Gordon Bryant, Jr",on 10/3/2016),493,513,line_entry,SPACY JNLP2
txnd;;5:16-cr-00059,txnd,2016,5:16-cr-00059,14,10/03/2016,"Nguyen: (Ordered by Magistrate Judge D. Gordon Bryant, Jr on 10/3/2016)",181,252,Nguyen: (Ordered by Magistrate Judge,"D. Gordon Bryant, Jr",on 10/3/2016),218,238,line_entry,SPACY JNLP2
