ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,0,10/19/2016,"2, 3. Assigned to Judge Dale A. Kimball. (eat) (Entered:",50,106,"2, 3. Assigned to Judge",Dale A. Kimball,. (eat) (Entered:,74,89,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,2,10/21/2016,(1) Signed by Magistrate Judge Paul M. Warner on 10/21/16.,101,159,(1) Signed by Magistrate Judge,Paul M. Warner,on 10/21/16.,132,146,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,3,10/21/2016,10:00 a.m. before Magistrate Judge Paul M. Warner. (eat) (Entered:,86,152,10:00 a.m. before Magistrate Judge,Paul M. Warner,. (eat) (Entered:,121,135,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,4,10/31/2016,for proceedings held before Judge Magistrate Judge Paul M. Warner: Initial Appearance/Arraignment/Pretrial,13,119,for proceedings held before Judge Magistrate Judge,Paul M. Warner,: Initial Appearance/Arraignment/Pretrial,64,78,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,4,10/31/2016,in Rm 3.400 before Judge Dale A. Kimball). Govt. seeks detention.,669,734,in Rm 3.400 before Judge,Dale A. Kimball,). Govt. seeks detention.,694,709,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,5,10/31/2016,attached document. Signed by Magistrate Judge Paul M. Warner on 10/31/2016.,92,167,attached document. Signed by Magistrate Judge,Paul M. Warner,on 10/31/2016.,138,152,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,6,10/31/2016,Rm 8.400 before Magistrate Judge Paul M. Warner. Signed by Magistrate Judge Paul M,138,220,Rm 8.400 before Magistrate Judge,Paul M. Warner,. Signed by Magistrate Judge Paul M,171,185,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,6,10/31/2016,. Warner. Signed by Magistrate Judge Paul M. Warner on 10/31/2016.,177,243,. Warner. Signed by Magistrate Judge,Paul M. Warner,on 10/31/2016.,214,228,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,8,11/01/2016,Rm 8.400 before Magistrate Judge Paul M. Warner. **PLEASE NOTE THE TIME,135,206,Rm 8.400 before Magistrate Judge,Paul M. Warner,. **PLEASE NOTE THE TIME,168,182,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,9,11/02/2016,Entry for proceedings held before Magistrate Judge Paul M. Warner: Detention Hearing as to Eric James,7,108,Entry for proceedings held before Magistrate Judge,Paul M. Warner,: Detention Hearing as to Eric James,58,72,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,10,11/02/2016,attached document. Signed by Magistrate Judge Paul M. Warner on 11/2/2016.,283,357,attached document. Signed by Magistrate Judge,Paul M. Warner,on 11/2/2016.,329,343,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,15,11/22/2016,19/16. Signed by Judge Dale A. Kimball on 11/22/16.,151,202,19/16. Signed by Judge,Dale A. Kimball,on 11/22/16.,174,189,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,17,12/02/2016,in Rm 3.400 before Judge Dale A. Kimball. Signed by Judge Dale A.,266,331,in Rm 3.400 before Judge,Dale A. Kimball,. Signed by Judge Dale A.,291,306,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,17,12/02/2016,A. Kimball. Signed by Judge Dale A. Kimball on 12/02/16.,296,352,A. Kimball. Signed by Judge,Dale A. Kimball,on 12/02/16.,324,339,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,19,02/10/2017,Rm 8.400 before Magistrate Judge Evelyn J. Furse. (lnp) (Entered:,132,197,Rm 8.400 before Magistrate Judge,Evelyn J. Furse,. (lnp) (Entered:,165,180,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,20,02/28/2017,Entry for proceedings held before Magistrate Judge Evelyn J. Furse: Change of Plea Hearing as to,7,103,Entry for proceedings held before Magistrate Judge,Evelyn J. Furse,: Change of Plea Hearing as to,58,73,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,20,02/28/2017,in Rm 3.400 before Judge Dale A. Kimball. Defendant remanded to the custody of,626,704,in Rm 3.400 before Judge,Dale A. Kimball,. Defendant remanded to the custody of,651,666,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,21,02/28/2017,TO ENTRY OF PLEA before Magistrate Judge Evelyn J. Furse as to Eric James Gobel. Signed,48,135,TO ENTRY OF PLEA before Magistrate Judge,Evelyn J. Furse,as to Eric James Gobel. Signed,89,104,line_entry,SPACY JNLP2
utd;;1:16-cr-00059,utd,2016,1:16-cr-00059,21,02/28/2017,Eric James Gobel. Signed by Judge Dale A. Kimball on 2/24/2017.,111,174,Eric James Gobel. Signed by Judge,Dale A. Kimball,on 2/24/2017.,145,160,line_entry,SPACY JNLP2
