ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,2,11/08/2016,forma pauperis. Signed by District Judge James C. Cacheris on 11/8/2016.,55,127,forma pauperis. Signed by District Judge,James C. Cacheris,on 11/8/2016.,96,113,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,5,11/18/2016,-Noticing. Signed by District Judge James C. Cacheris on 11/22/16.,36,102,-Noticing. Signed by District Judge,James C. Cacheris,on 11/22/16.,72,89,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,13,03/09/2017,", 2017. Signed by District Judge James C. Cacheris on 3/9/17.",212,273,", 2017. Signed by District Judge",James C. Cacheris,on 3/9/17.,245,262,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,18,04/06/2017,/2017. Signed by District Judge James C. Cacheris on 4/6/2017.,427,489,/2017. Signed by District Judge,James C. Cacheris,on 4/6/2017.,459,476,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,19,04/07/2017,"in Alexandria Courtroom 1000 before District Judge James C. Cacheris. (rban, )",86,164,in Alexandria Courtroom 1000 before District Judge,James C. Cacheris,". (rban, )",137,154,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,25,05/22/2017,"in Alexandria Courtroom 1000 before District Judge James C. Cacheris. (clar, )",98,176,in Alexandria Courtroom 1000 before District Judge,James C. Cacheris,". (clar, )",149,166,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,26,06/22/2017,Entry for proceedings held before District Judge James C. Cacheris: Summary Judgment Hearing / Motion Hearing,7,116,Entry for proceedings held before District Judge,James C. Cacheris,: Summary Judgment Hearing / Motion Hearing,56,73,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,27,06/22/2017,MEMORANDUM OPINION Signed by District Judge James C. Cacheris on 6/22/17.,0,73,MEMORANDUM OPINION Signed by District Judge,James C. Cacheris,on 6/22/17.,44,61,line_entry,SPACY JNLP2
vaed;;1:16-cv-01400,vaed,2016,1:16-cv-01400,28,06/22/2017,IS FINAL. Signed by District Judge James C. Cacheris on 6/22/17.,163,227,IS FINAL. Signed by District Judge,James C. Cacheris,on 6/22/17.,198,215,line_entry,SPACY JNLP2
vaed;;2:16-cv-00487,vaed,2016,2:16-cv-00487,7,09/13/2016,this case.signed by Magistrate Judge Robert J. Krask on 9/13/2016.,344,410,this case.signed by Magistrate Judge,Robert J. Krask,on 9/13/2016.,381,396,line_entry,SPACY JNLP2
vaed;;2:16-cv-00487,vaed,2016,2:16-cv-00487,15,02/13/2017,all parties. Signed by District Judge Arenda L. Wright Allen on 2/13/2017.,250,324,all parties. Signed by District Judge,Arenda L. Wright Allen,on 2/13/2017.,288,310,line_entry,SPACY JNLP2
vaed;;1:16-cv-00678,vaed,2016,1:16-cv-00678,9,09/07/2016,"Division). Signed by District Judge T. S. Ellis, III on 9/7/16.",234,297,Division). Signed by District Judge,"T. S. Ellis, III",on 9/7/16.,270,286,line_entry,SPACY JNLP2
vaed;;1:16-cv-00589,vaed,2016,1:16-cv-00589,4,11/28/2016,Julie Sapp. Signed by District Judge Claude M. Hilton on 11/28/2016.,60,128,Julie Sapp. Signed by District Judge,Claude M. Hilton,on 11/28/2016.,97,113,line_entry,SPACY JNLP2
vaed;;3:16-cv-00688,vaed,2016,3:16-cv-00688,7,10/13/2016,", 2016. Signed by District Judge Henry E. Hudson on 10/13/2016.",149,212,", 2016. Signed by District Judge",Henry E. Hudson,on 10/13/2016.,182,197,line_entry,SPACY JNLP2
vaed;;3:16-cv-00688,vaed,2016,3:16-cv-00688,9,11/04/2016,in Richmond Courtroom 6300 before District Judge Henry E. Hudson (rpiz) (Entered: 11,116,200,in Richmond Courtroom 6300 before District Judge,Henry E. Hudson,(rpiz) (Entered: 11,165,180,line_entry,SPACY JNLP2
vaed;;3:16-cv-00688,vaed,2016,3:16-cv-00688,12,01/12/2017,for details. Signed by District Judge Henry E. Hudson on 1/12/2017.,242,309,for details. Signed by District Judge,Henry E. Hudson,on 1/12/2017.,280,295,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,5,03/22/2016,2). Signed by Magistrate Judge Lawrence R. Leonard on 3/22/16 and,132,197,2). Signed by Magistrate Judge,Lawrence R. Leonard,on 3/22/16 and,163,182,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,9,04/08/2016,"in Norfolk. Signed by District Judge Robert G. Doumar on April 7, 2016. (",213,286,in Norfolk. Signed by District Judge,Robert G. Doumar,"on April 7, 2016. (",250,266,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,10,04/08/2016,Order Referring Case to Magistrate Judge Lawrence R. Leonard to conduct any and all further proceedings,0,103,Order Referring Case to Magistrate Judge,Lawrence R. Leonard,to conduct any and all further proceedings,41,60,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,10,04/08/2016,the parties. Signed by District Judge Robert G. Doumar on 4/8/16.,185,250,the parties. Signed by District Judge,Robert G. Doumar,on 4/8/16.,223,239,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,14,05/17/2016,16. (Signed by Magistrate Judge Lawrence R. Leonard on 5/16/16),478,541,16. (Signed by Magistrate Judge,Lawrence R. Leonard,on 5/16/16),510,529,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,23,06/01/2016,16. (Signed by Magistrate Judge Lawrence R. Leonard on 6/1/16),303,365,16. (Signed by Magistrate Judge,Lawrence R. Leonard,on 6/1/16),335,354,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,30,08/19/2016,1 w/OCR before Magistrate Judge Lawrence R. Leonard. (lwoo),110,169,1 w/OCR before Magistrate Judge,Lawrence R. Leonard,. (lwoo),142,161,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,31,08/24/2016,/24/16 before Magistrate Judge Lawrence R. Leonard. John Basilone appeared on behalf of,86,173,/24/16 before Magistrate Judge,Lawrence R. Leonard,. John Basilone appeared on behalf of,117,136,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,32,08/25/2016,2016. (Signed by Magistrate Judge Lawrence R. Leonard on 8/25/16),1062,1127,2016. (Signed by Magistrate Judge,Lawrence R. Leonard,on 8/25/16),1096,1115,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,33,09/07/2016,in Norfolk Judges Chamber before Magistrate Judge Lawrence R. Leonard. (lwoo),74,151,in Norfolk Judges Chamber before Magistrate Judge,Lawrence R. Leonard,. (lwoo),124,143,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,36,09/20/2016,2016. (Signed by Magistrate Judge Lawrence R. Leonard on 9/20/16),800,865,2016. (Signed by Magistrate Judge,Lawrence R. Leonard,on 9/20/16),834,853,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,41,09/27/2016,to Continue. Signed by Magistrate Judge Lawrence R. Leonard and filed on 9/27/,697,775,to Continue. Signed by Magistrate Judge,Lawrence R. Leonard,and filed on 9/27/,737,756,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,42,09/29/2016,in Norfolk Judges Chamber before Magistrate Judge Lawrence R. Leonard. Jury Trial set for 2/,162,254,in Norfolk Judges Chamber before Magistrate Judge,Lawrence R. Leonard,. Jury Trial set for 2/,212,231,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,42,09/29/2016,Norfolk Mag Courtroom 1 before Magistrate Judge Lawrence R. Leonard. Signed by Magistrate Judge Lawrence R,277,383,Norfolk Mag Courtroom 1 before Magistrate Judge,Lawrence R. Leonard,. Signed by Magistrate Judge Lawrence R,325,344,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,42,09/29/2016,. Leonard. Signed by Magistrate Judge Lawrence R. Leonard on 09/29/16.,335,405,. Leonard. Signed by Magistrate Judge,Lawrence R. Leonard,on 09/29/16.,373,392,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,43,09/30/2016,"Norfolk Mag Courtroom 1 before Magistrate Judge Lawrence R. Leonard. (cdod, )",74,151,Norfolk Mag Courtroom 1 before Magistrate Judge,Lawrence R. Leonard,". (cdod, )",122,141,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,44,12/21/2016,in Norfolk Judges Chamber before Magistrate Judge Robert J. Krask. (lwoo),52,125,in Norfolk Judges Chamber before Magistrate Judge,Robert J. Krask,. (lwoo),102,117,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,45,01/03/2017,DETAILS). Signed by Magistrate Judge Robert J. Krask on 1/3/2017.,842,907,DETAILS). Signed by Magistrate Judge,Robert J. Krask,on 1/3/2017.,879,894,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,47,01/24/2017,Entry for proceedings held before Magistrate Judge Robert J. Krask:Settlement Conference held on 1/,7,106,Entry for proceedings held before Magistrate Judge,Robert J. Krask,:Settlement Conference held on 1/,58,73,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,48,02/08/2017,"in Norfolk Judges Chamber before Magistrate Judge Lawrence R. Leonard. (cdod, )",71,150,in Norfolk Judges Chamber before Magistrate Judge,Lawrence R. Leonard,". (cdod, )",121,140,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,49,02/10/2017,PRETRIAL ORDER. Signed by Magistrate Judge Lawrence R. Leonard and filed on 2/10/,6,87,PRETRIAL ORDER. Signed by Magistrate Judge,Lawrence R. Leonard,and filed on 2/10/,49,68,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,55,02/17/2017,"Norfolk Mag Courtroom 1 before Magistrate Judge Lawrence R. Leonard. (cdod, )",58,135,Norfolk Mag Courtroom 1 before Magistrate Judge,Lawrence R. Leonard,". (cdod, )",106,125,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,56,02/21/2017,Entry for proceedings held before Magistrate Judge Lawrence R. Leonard: Matter came on for jury trial,7,108,Entry for proceedings held before Magistrate Judge,Lawrence R. Leonard,: Matter came on for jury trial,58,77,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,57,02/22/2017,Entry for proceedings held before Magistrate Judge Lawrence R. Leonard: Jury Trial completed on 2/,7,105,Entry for proceedings held before Magistrate Judge,Lawrence R. Leonard,: Jury Trial completed on 2/,58,77,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,60,02/23/2017,",000. Signed by Magistrate Judge Lawrence R. Leonard on 2/22/17.",123,187,",000. Signed by Magistrate Judge",Lawrence R. Leonard,on 2/22/17.,156,175,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,62,03/02/2017,"/21/2017, before Judge Lawrence R. Leonard, Court Reporter/Transcriber Heidi Jeffreys",58,143,"/21/2017, before Judge",Lawrence R. Leonard,", Court Reporter/Transcriber Heidi Jeffreys",81,100,line_entry,SPACY JNLP2
vaed;;2:16-cv-00073,vaed,2016,2:16-cv-00073,63,03/02/2017,"/22/2017, before Judge Lawrence R. Leonard, Court Reporter/Transcriber Heidi Jeffreys",58,143,"/22/2017, before Judge",Lawrence R. Leonard,", Court Reporter/Transcriber Heidi Jeffreys",81,100,line_entry,SPACY JNLP2
