ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,4,12/12/2016,"1). Signed by Senior Judge Edward F. Shea. (AY, Case Administrator)",96,163,1). Signed by Senior Judge,Edward F. Shea,". (AY, Case Administrator)",123,137,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,8,10/24/2019,"in Richland Courtroom 326 before Magistrate Judge Mary K. Dimke. (PH, Case Administrator)",166,255,in Richland Courtroom 326 before Magistrate Judge,Mary K. Dimke,". (PH, Case Administrator)",216,229,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,10,10/25/2019,"in Richland Courtroom 326 before Magistrate Judge Mary K. Dimke. (PH, Case Administrator)",205,294,in Richland Courtroom 326 before Magistrate Judge,Mary K. Dimke,". (PH, Case Administrator)",255,268,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,11,10/28/2019,in Richland Courtroom 326 before Senior Judge Edward F. Shea. Defendant is not yet in the,195,284,in Richland Courtroom 326 before Senior Judge,Edward F. Shea,. Defendant is not yet in the,241,255,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,12,10/30/2019,"in Richland Courtroom 326 before Magistrate Judge Mary K. Dimke. (PH, Case Administrator)",203,292,in Richland Courtroom 326 before Magistrate Judge,Mary K. Dimke,". (PH, Case Administrator)",253,266,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,15,10/31/2019,"the matter. Signed by Magistrate Judge Mary K. Dimke. (CEC, Law Clerk)",485,555,the matter. Signed by Magistrate Judge,Mary K. Dimke,". (CEC, Law Clerk)",524,537,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,16,10/31/2019,Entry for proceedings held before Magistrate Judge Mary K. Dimke: Arraignment/Initial Appearance held on,7,111,Entry for proceedings held before Magistrate Judge,Mary K. Dimke,: Arraignment/Initial Appearance held on,58,71,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,19,11/01/2019,"in Richland Courtroom 326 before Magistrate Judge Mary K. Dimke. (PH, Case Administrator)",138,227,in Richland Courtroom 326 before Magistrate Judge,Mary K. Dimke,". (PH, Case Administrator)",188,201,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,20,11/01/2019,in Richland Courtroom 326 before Magistrate Judge Mary K. Dimke. Signed by Magistrate Judge Mary K,131,229,in Richland Courtroom 326 before Magistrate Judge,Mary K. Dimke,. Signed by Magistrate Judge Mary K,181,194,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,20,11/01/2019,". Dimke. Signed by Magistrate Judge Mary K. Dimke. (TR, Case Administrator)",187,262,. Dimke. Signed by Magistrate Judge,Mary K. Dimke,". (TR, Case Administrator)",223,236,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,23,11/05/2019,Entry for proceedings held before Magistrate Judge Mary K. Dimke: Detention Hearing as to Tony Israel,7,108,Entry for proceedings held before Magistrate Judge,Mary K. Dimke,: Detention Hearing as to Tony Israel,58,71,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,24,11/05/2019,"1). Signed by Magistrate Judge Mary K. Dimke. (TR, Case Administrator)",82,152,1). Signed by Magistrate Judge,Mary K. Dimke,". (TR, Case Administrator)",113,126,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,25,11/07/2019,this case should be reassigned to Judge Stanley A. Bastian for all further proceedings. The parties,132,231,this case should be reassigned to Judge,Stanley A. Bastian,for all further proceedings. The parties,172,190,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,25,11/07/2019,this reassignment. Signed by Chief Judge Thomas O. Rice. TEXT ONLY ORDER; NO PDF,328,408,this reassignment. Signed by Chief Judge,Thomas O. Rice,. TEXT ONLY ORDER; NO PDF,369,383,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,26,11/15/2019,AM in Yakima Courtroom 203 before Judge Stanley A Bastian. Signed by Judge Stanley A Bastian,193,285,AM in Yakima Courtroom 203 before Judge,Stanley A Bastian,. Signed by Judge Stanley A Bastian,233,250,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,26,11/15/2019,"Stanley A Bastian. Signed by Judge Stanley A Bastian. (LR, Case Administrator)",233,311,Stanley A Bastian. Signed by Judge,Stanley A Bastian,". (LR, Case Administrator)",268,285,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,27,12/12/2019,/2019 Without Oral Argument before Judge Stanley A Bastian. (Attachments: # 1 Text,147,229,/2019 Without Oral Argument before Judge,Stanley A Bastian,. (Attachments: # 1 Text,188,205,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,29,12/12/2019,/2019 Without Oral Argument before Judge Stanley A Bastian. (Attachments: # 1 Text,84,166,/2019 Without Oral Argument before Judge,Stanley A Bastian,. (Attachments: # 1 Text,125,142,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,30,12/16/2019,AM in Yakima Courtroom 203 before Judge Stanley A Bastian. Excludable delay from: 1/,272,356,AM in Yakima Courtroom 203 before Judge,Stanley A Bastian,. Excludable delay from: 1/,312,329,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,30,12/16/2019,"(1). Signed by Judge Stanley A Bastian. (LR, Case Administrator)",403,467,(1). Signed by Judge,Stanley A Bastian,". (LR, Case Administrator)",424,441,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,31,12/30/2019,"a.m. in Yakima Courtroom 203 before Judge Stanley A Bastian. (ES, Courtroom Deputy)",199,282,a.m. in Yakima Courtroom 203 before Judge,Stanley A Bastian,". (ES, Courtroom Deputy)",241,258,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,32,01/14/2020,a speedy trial. Signed by Judge Stanley A. Bastian. Text entry; no PDF document,483,562,a speedy trial. Signed by Judge,Stanley A. Bastian,. Text entry; no PDF document,515,533,line_entry,SPACY JNLP2
waed;;4:16-cr-06040,waed,2016,4:16-cr-06040,34,01/21/2020,"Party: Defendant. Signed by Judge Stanley A Bastian. (LR, Case Administrator)",58,135,Party: Defendant. Signed by Judge,Stanley A Bastian,". (LR, Case Administrator)",92,109,line_entry,SPACY JNLP2
waed;;1:16-cv-03153,waed,2016,1:16-cv-03153,1,08/24/2016,"Notice of Judge Assignment. Senior Judge Lonny R. Suko assigned to case. (CC,",0,77,Notice of Judge Assignment. Senior Judge,Lonny R. Suko,"assigned to case. (CC,",41,54,line_entry,SPACY JNLP2
waed;;1:16-cv-03153,waed,2016,1:16-cv-03153,5,12/01/2016,"/2017. Signed by Senior Judge Lonny R. Suko. (CC, Case Administrator)",56,125,/2017. Signed by Senior Judge,Lonny R. Suko,". (CC, Case Administrator)",86,99,line_entry,SPACY JNLP2
waed;;1:16-cv-03153,waed,2016,1:16-cv-03153,9,12/22/2016,2017 Without Oral Argument before Senior Judge Lonny R. Suko. (Attachments: # 1 Proposed,91,179,2017 Without Oral Argument before Senior Judge,Lonny R. Suko,. (Attachments: # 1 Proposed,138,151,line_entry,SPACY JNLP2
waed;;1:16-cv-03153,waed,2016,1:16-cv-03153,11,03/03/2017,"Default Judgment. Signed by Senior Judge Lonny R. Suko. (CC, Case Administrator)",79,159,Default Judgment. Signed by Senior Judge,Lonny R. Suko,". (CC, Case Administrator)",120,133,line_entry,SPACY JNLP2
waed;;1:16-cv-03153,waed,2016,1:16-cv-03153,18,05/30/2017,"2017 Without Oral Argument before Senior Judge Lonny R. Suko. (Derrig, Joseph) (",115,195,2017 Without Oral Argument before Senior Judge,Lonny R. Suko,". (Derrig, Joseph) (",162,175,line_entry,SPACY JNLP2
waed;;1:16-cv-03153,waed,2016,1:16-cv-03153,19,06/05/2017,"File CLOSED.Signed by Senior Judge Lonny R. Suko. (JW, Operations Clk)",62,132,File CLOSED.Signed by Senior Judge,Lonny R. Suko,". (JW, Operations Clk)",97,110,line_entry,SPACY JNLP2
waed;;1:16-cv-03153,waed,2016,1:16-cv-03153,20,10/03/2017,2017 Without Oral Argument before Senior Judge Lonny R. Suko. (Attachments: # 1 Text,90,174,2017 Without Oral Argument before Senior Judge,Lonny R. Suko,. (Attachments: # 1 Text,137,150,line_entry,SPACY JNLP2
waed;;1:16-cv-03153,waed,2016,1:16-cv-03153,22,10/04/2017,"of Funds. Signed by Senior Judge Lonny R. Suko. (TR, Case Administrator)",86,158,of Funds. Signed by Senior Judge,Lonny R. Suko,". (TR, Case Administrator)",119,132,line_entry,SPACY JNLP2
waed;;1:16-cv-03153,waed,2016,1:16-cv-03153,25,03/19/2019,2019 Without Oral Argument before Senior Judge Lonny R. Suko. (Attachments: # 1 Affidavit,84,173,2019 Without Oral Argument before Senior Judge,Lonny R. Suko,. (Attachments: # 1 Affidavit,131,144,line_entry,SPACY JNLP2
waed;;1:16-cv-03153,waed,2016,1:16-cv-03153,26,04/19/2019,". 26 . Signed by Senior Judge Lonny R. Suko. (TR, Case Administrator)",53,122,. 26 . Signed by Senior Judge,Lonny R. Suko,". (TR, Case Administrator)",83,96,line_entry,SPACY JNLP2
waed;;4:16-cv-05051,waed,2016,4:16-cv-05051,3,04/19/2016,"Notice of Judge Assignment. Chief Judge Thomas O. Rice assigned to case. (AY,",0,77,Notice of Judge Assignment. Chief Judge,Thomas O. Rice,"assigned to case. (AY,",40,54,line_entry,SPACY JNLP2
waed;;4:16-cv-05051,waed,2016,4:16-cv-05051,5,04/27/2016,"8:30 AM before Chief Judge Thomas O. Rice. (LLH, Courtroom Deputy)",83,149,8:30 AM before Chief Judge,Thomas O. Rice,". (LLH, Courtroom Deputy)",110,124,line_entry,SPACY JNLP2
waed;;4:16-cv-05051,waed,2016,4:16-cv-05051,7,06/02/2016,for TELEPHONIC proceedings held before Chief Judge Thomas O. Rice: Scheduling Conference held on 6/,13,112,for TELEPHONIC proceedings held before Chief Judge,Thomas O. Rice,: Scheduling Conference held on 6/,64,78,line_entry,SPACY JNLP2
waed;;4:16-cv-05051,waed,2016,4:16-cv-05051,8,06/02/2016,:00 AM in before Chief Judge Thomas O. Rice. A Jury Trial is set for,88,156,:00 AM in before Chief Judge,Thomas O. Rice,. A Jury Trial is set for,117,131,line_entry,SPACY JNLP2
waed;;4:16-cv-05051,waed,2016,4:16-cv-05051,8,06/02/2016,in Richland Courtroom 189 before Chief Judge Thomas O. Rice. Signed by Chief Judge Thomas O,178,269,in Richland Courtroom 189 before Chief Judge,Thomas O. Rice,. Signed by Chief Judge Thomas O,223,237,line_entry,SPACY JNLP2
waed;;4:16-cv-05051,waed,2016,4:16-cv-05051,8,06/02/2016,". Rice. Signed by Chief Judge Thomas O. Rice. (BF, Paralegal) (",231,294,. Rice. Signed by Chief Judge,Thomas O. Rice,". (BF, Paralegal) (",261,275,line_entry,SPACY JNLP2
waed;;4:16-cv-05051,waed,2016,4:16-cv-05051,9,07/29/2016,"2016 Without Oral Argument before Chief Judge Thomas O. Rice. (Woods, Dennis) (",131,210,2016 Without Oral Argument before Chief Judge,Thomas O. Rice,". (Woods, Dennis) (",177,191,line_entry,SPACY JNLP2
waed;;4:16-cv-05051,waed,2016,4:16-cv-05051,10,07/29/2016,"PM Without Oral Argument before Chief Judge Thomas O. Rice. (LLH, Courtroom Deputy)",154,237,PM Without Oral Argument before Chief Judge,Thomas O. Rice,". (LLH, Courtroom Deputy)",198,212,line_entry,SPACY JNLP2
waed;;4:16-cv-05051,waed,2016,4:16-cv-05051,11,08/03/2016,"of Appearance. Signed by Chief Judge Thomas O. Rice. (LLH, Courtroom Deputy)",307,383,of Appearance. Signed by Chief Judge,Thomas O. Rice,". (LLH, Courtroom Deputy)",344,358,line_entry,SPACY JNLP2
waed;;4:16-cv-05051,waed,2016,4:16-cv-05051,14,09/13/2016,"2016 Without Oral Argument before Chief Judge Thomas O. Rice. (Bohrnsen, Andrew) (",106,188,2016 Without Oral Argument before Chief Judge,Thomas O. Rice,". (Bohrnsen, Andrew) (",152,166,line_entry,SPACY JNLP2
waed;;4:16-cv-05051,waed,2016,4:16-cv-05051,15,09/20/2016,appearance forthwith. Signed by Chief Judge Thomas O. Rice. TEXT ONLY ORDER; NO PDF,167,250,appearance forthwith. Signed by Chief Judge,Thomas O. Rice,. TEXT ONLY ORDER; NO PDF,211,225,line_entry,SPACY JNLP2
waed;;4:16-cv-05051,waed,2016,4:16-cv-05051,17,04/04/2017,2017 Without Oral Argument before Chief Judge Thomas O. Rice. (Attachments: # 1 Text,76,160,2017 Without Oral Argument before Chief Judge,Thomas O. Rice,. (Attachments: # 1 Text,122,136,line_entry,SPACY JNLP2
waed;;4:16-cv-05051,waed,2016,4:16-cv-05051,18,04/05/2017,"is CLOSED. Signed by Chief Judge Thomas O. Rice. (LLH, Courtroom Deputy)",218,290,is CLOSED. Signed by Chief Judge,Thomas O. Rice,". (LLH, Courtroom Deputy)",251,265,line_entry,SPACY JNLP2
waed;;2:16-cv-00285,waed,2016,2:16-cv-00285,0,12/27/2016,"good faith.  Signed by Judge Salvador Mendoza, Jr. (PL, Case Administrator)",114,189,good faith.  Signed by Judge,"Salvador Mendoza, Jr.","(PL, Case Administrator)",143,164,line_entry,SPACY JNLP2
waed;;4:16-cv-05061,waed,2016,4:16-cv-05061,0,06/13/2016,"good faith.  Signed by Judge Stanley A Bastian. (AY, Case Administrator)",151,223,good faith.  Signed by Judge,Stanley A Bastian,". (AY, Case Administrator)",180,197,line_entry,SPACY JNLP2
waed;;2:16-cv-00156,waed,2016,2:16-cv-00156,0,05/16/2016,"Notice of Judge Assignment. Senior Judge Robert H. Whaley assigned to case. (VR,",0,80,Notice of Judge Assignment. Senior Judge,Robert H. Whaley,"assigned to case. (VR,",41,57,line_entry,SPACY JNLP2
waed;;2:16-cv-00156,waed,2016,2:16-cv-00156,1,05/16/2016,"the matter. Signed by Magistrate Judge John T. Rodgers. (KR, Judicial Assistant)",426,506,the matter. Signed by Magistrate Judge,John T. Rodgers,". (KR, Judicial Assistant)",465,480,line_entry,SPACY JNLP2
waed;;2:16-cv-00156,waed,2016,2:16-cv-00156,12,08/16/2016,"Oral Argument. Signed by Senior Judge Robert H. Whaley. (VR, Courtroom Deputy)",336,414,Oral Argument. Signed by Senior Judge,Robert H. Whaley,". (VR, Courtroom Deputy)",374,390,line_entry,SPACY JNLP2
