ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
wied;;2:16-cv-00778,wied,2016,2:16-cv-00778,2,06/27/2016,ORDER signed by Judge J P Stadtmueller on 6/27/16 that,0,54,ORDER signed by Judge,J P Stadtmueller,on 6/27/16 that,22,38,line_entry,SPACY JNLP2
wied;;2:16-cv-00778,wied,2016,2:16-cv-00778,4,07/11/2016,ORDER signed by Judge J P Stadtmueller on 7/11/16 that,0,54,ORDER signed by Judge,J P Stadtmueller,on 7/11/16 that,22,38,line_entry,SPACY JNLP2
wied;;2:16-cv-00778,wied,2016,2:16-cv-00778,6,08/29/2016,ORDER signed by Judge J P Stadtmueller on 8/29/16:,0,50,ORDER signed by Judge,J P Stadtmueller,on 8/29/16:,22,38,line_entry,SPACY JNLP2
wied;;2:16-cv-00778,wied,2016,2:16-cv-00778,7,08/29/2016,and approved as to form by Judge J P Stadtmueller on 8/29/16:,32,93,and approved as to form by Judge,J P Stadtmueller,on 8/29/16:,65,81,line_entry,SPACY JNLP2
wied;;2:16-cv-00332,wied,2016,2:16-cv-00332,1,03/17/2016,Regarding assignment of this matter to Judge J P Stadtmueller ;Consent/refusal forms for Magistrate,7,106,Regarding assignment of this matter to Judge,J P Stadtmueller,;Consent/refusal forms for Magistrate,52,68,line_entry,SPACY JNLP2
wied;;2:16-cv-00332,wied,2016,2:16-cv-00332,1,03/17/2016,Consent/refusal forms for Magistrate Judge Duffin to be filed within 21 days;,70,147,Consent/refusal forms for Magistrate Judge,Duffin,to be filed within 21 days;,113,119,line_entry,SPACY JNLP2
wied;;2:16-cv-00332,wied,2016,2:16-cv-00332,11,04/12/2016,Consent/Refusal form to Magistrate Judge William E. Duffin be filed no later than 4/,77,161,Consent/Refusal form to Magistrate Judge,William E. Duffin,be filed no later than 4/,118,135,line_entry,SPACY JNLP2
wied;;2:16-cv-00332,wied,2016,2:16-cv-00332,12,04/12/2016,TEXT ONLY ORDER signed by Judge J P Stadtmueller on 4/12/16 adopting,0,68,TEXT ONLY ORDER signed by Judge,J P Stadtmueller,on 4/12/16 adopting,32,48,line_entry,SPACY JNLP2
wied;;2:16-cv-00332,wied,2016,2:16-cv-00332,13,04/12/2016,", Milwaukee, WI 53202 before Judge J P Stadtmueller; counsel for the parties are directed",113,202,", Milwaukee, WI 53202 before Judge",J P Stadtmueller,; counsel for the parties are directed,148,164,line_entry,SPACY JNLP2
wied;;2:16-cv-00332,wied,2016,2:16-cv-00332,18,05/04/2016,Minute Entry for proceedings held before Judge J. P. Stadtmueller: Scheduling Conference held on 5/,0,99,Minute Entry for proceedings held before Judge,J. P. Stadtmueller,: Scheduling Conference held on 5/,47,65,line_entry,SPACY JNLP2
wied;;2:16-cv-00332,wied,2016,2:16-cv-00332,19,05/13/2016,TRIAL SCHEDULING ORDER signed by Judge J P Stadtmueller on 5/13/16:,0,67,TRIAL SCHEDULING ORDER signed by Judge,J P Stadtmueller,on 5/13/16:,39,55,line_entry,SPACY JNLP2
wied;;2:16-cv-00332,wied,2016,2:16-cv-00332,19,05/13/2016,"., Milwaukee, WI before Judge J P Stadtmueller; Jury Trial set for 2/",465,534,"., Milwaukee, WI before Judge",J P Stadtmueller,; Jury Trial set for 2/,495,511,line_entry,SPACY JNLP2
wied;;2:16-cv-00332,wied,2016,2:16-cv-00332,19,05/13/2016,"., Milwaukee, WI before Judge J P Stadtmueller. See Order. (cc:",588,651,"., Milwaukee, WI before Judge",J P Stadtmueller,. See Order. (cc:,618,634,line_entry,SPACY JNLP2
wied;;2:16-cv-00332,wied,2016,2:16-cv-00332,21,09/01/2016,PROTECTIVE ORDER signed by Judge J P Stadtmueller on 9/1/16 specifying,0,70,PROTECTIVE ORDER signed by Judge,J P Stadtmueller,on 9/1/16 specifying,33,49,line_entry,SPACY JNLP2
wied;;2:16-cv-00332,wied,2016,2:16-cv-00332,50,01/13/2017,ORDER signed by Judge J.P. Stadtmueller on 1/13/2017 GRANTING,0,61,ORDER signed by Judge,J.P. Stadtmueller,on 1/13/2017 GRANTING,22,39,line_entry,SPACY JNLP2
wied;;2:16-cv-00332,wied,2016,2:16-cv-00332,51,01/13/2017,and approved as to form by Judge J.P. Stadtmueller on 1/13/2017 DISMISSING,32,106,and approved as to form by Judge,J.P. Stadtmueller,on 1/13/2017 DISMISSING,65,82,line_entry,SPACY JNLP2
wied;;2:16-cv-01098,wied,2016,2:16-cv-01098,0,08/16/2016,. Consent forms distributed for Magistrate Judge Nancy Joseph. Jury Demand (asc) (,67,149,. Consent forms distributed for Magistrate Judge,Nancy Joseph,. Jury Demand (asc) (,116,128,line_entry,SPACY JNLP2
wied;;2:16-cv-01098,wied,2016,2:16-cv-01098,3,09/29/2016,ORDER signed by Judge J P Stadtmueller on 9/29/16:,0,50,ORDER signed by Judge,J P Stadtmueller,on 9/29/16:,22,38,line_entry,SPACY JNLP2
wied;;2:16-cv-01098,wied,2016,2:16-cv-01098,4,09/29/2016,and approved as to form by Judge J P Stadtmueller on 9/29/16 DISMISSING,32,103,and approved as to form by Judge,J P Stadtmueller,on 9/29/16 DISMISSING,65,81,line_entry,SPACY JNLP2
wied;;2:16-cv-00197,wied,2016,2:16-cv-00197,2,02/18/2016,assignment of this matter to Magistrate Judge William E Duffin ;Consent/refusal forms for Magistrate,17,117,assignment of this matter to Magistrate Judge,William E Duffin,;Consent/refusal forms for Magistrate,63,79,line_entry,SPACY JNLP2
wied;;2:16-cv-00197,wied,2016,2:16-cv-00197,2,02/18/2016,Consent/refusal forms for Magistrate Judge Duffin to be filed within 21 days;,81,158,Consent/refusal forms for Magistrate Judge,Duffin,to be filed within 21 days;,124,130,line_entry,SPACY JNLP2
wied;;2:16-cv-01380,wied,2016,2:16-cv-01380,4,10/17/2016,Regarding assignment of this matter to Judge J P Stadtmueller ;Consent/refusal forms for Magistrate,7,106,Regarding assignment of this matter to Judge,J P Stadtmueller,;Consent/refusal forms for Magistrate,52,68,line_entry,SPACY JNLP2
wied;;2:16-cv-01380,wied,2016,2:16-cv-01380,4,10/17/2016,Consent/refusal forms for Magistrate Judge Joseph to be filed within 21 days;,70,147,Consent/refusal forms for Magistrate Judge,Joseph,to be filed within 21 days;,113,119,line_entry,SPACY JNLP2
wied;;2:16-cv-01380,wied,2016,2:16-cv-01380,6,11/01/2016,ORDER signed by Judge J P Stadtmueller on 11/1/16:,0,50,ORDER signed by Judge,J P Stadtmueller,on 11/1/16:,22,38,line_entry,SPACY JNLP2
wied;;2:16-cv-01380,wied,2016,2:16-cv-01380,8,12/08/2016,ORDER signed by Judge J. P. Stadtmueller on 12/8/2016 DISMISSING,0,64,ORDER signed by Judge,J. P. Stadtmueller,on 12/8/2016 DISMISSING,22,40,line_entry,SPACY JNLP2
wied;;2:16-cv-01380,wied,2016,2:16-cv-01380,9,12/08/2016,and approved as to form by Judge J. P. Stadtmueller on 12/8/2016.,32,97,and approved as to form by Judge,J. P. Stadtmueller,on 12/8/2016.,65,83,line_entry,SPACY JNLP2
wied;;2:16-cv-01380,wied,2016,2:16-cv-01380,10,12/09/2016,ORDER signed by Judge J. P. Stadtmueller on 12/9/2016 VACATING,0,62,ORDER signed by Judge,J. P. Stadtmueller,on 12/9/2016 VACATING,22,40,line_entry,SPACY JNLP2
wied;;2:16-cv-01380,wied,2016,2:16-cv-01380,19,01/26/2017,Briefing Order signed by Judge J.P. Stadtmueller on 1/26/2017.,0,62,Briefing Order signed by Judge,J.P. Stadtmueller,on 1/26/2017.,31,48,line_entry,SPACY JNLP2
wied;;2:16-cv-01380,wied,2016,2:16-cv-01380,23,05/30/2017,ORDER signed by Judge J.P. Stadtmueller on 5/30/2017:,0,53,ORDER signed by Judge,J.P. Stadtmueller,on 5/30/2017:,22,39,line_entry,SPACY JNLP2
wied;;2:16-cv-01380,wied,2016,2:16-cv-01380,24,05/30/2017,and approved as to form by Judge J.P. Stadtmueller on 5/30/2017:,32,96,and approved as to form by Judge,J.P. Stadtmueller,on 5/30/2017:,65,82,line_entry,SPACY JNLP2
wied;;2:16-cv-01380,wied,2016,2:16-cv-01380,31,08/31/2017,ORDER signed by Judge J.P. Stadtmueller on 8/31/2017 ADOPTING,0,61,ORDER signed by Judge,J.P. Stadtmueller,on 8/31/2017 ADOPTING,22,39,line_entry,SPACY JNLP2
wied;;2:16-cv-01380,wied,2016,2:16-cv-01380,36,11/19/2019,ORDER signed by Judge J P Stadtmueller on 11/19/2019 GRANTING,0,61,ORDER signed by Judge,J P Stadtmueller,on 11/19/2019 GRANTING,22,38,line_entry,SPACY JNLP2
wied;;2:16-cv-00199,wied,2016,2:16-cv-00199,0,02/18/2016,forms distributed to plaintiff for Magistrate Judge Nancy Joseph (Filing Fee PAID $400),116,203,forms distributed to plaintiff for Magistrate Judge,Nancy Joseph,(Filing Fee PAID $400),168,180,line_entry,SPACY JNLP2
wied;;2:16-cv-00199,wied,2016,2:16-cv-00199,1,02/23/2016,"Consent to Jurisdiction by US Magistrate Judge by Jodell Wrigley. (Gende, James)",0,80,Consent to Jurisdiction by US Magistrate Judge,by Jodell Wrigley,". (Gende, James)",47,64,line_entry,SPACY JNLP2
wied;;2:16-cv-01141,wied,2016,2:16-cv-01141,0,10/03/2016, ORDER signed by Judge Lynn Adelman on 10/3/16 denying,0,54, ORDER signed by Judge,Lynn Adelman,on 10/3/16 denying,23,35,line_entry,SPACY JNLP2
wied;;2:16-cv-01117,wied,2016,2:16-cv-01117,1,08/22/2016,Regarding assignment of this matter to Judge J P Stadtmueller (jcl),7,74,Regarding assignment of this matter to Judge,J P Stadtmueller,(jcl),52,68,line_entry,SPACY JNLP2
wied;;2:16-cv-01117,wied,2016,2:16-cv-01117,8,01/18/2017,ORDER RE BANKRUPTCY APPEAL signed by Judge J.P. Stadtmueller on 1/18/2017 REVERSING,0,83,ORDER RE BANKRUPTCY APPEAL signed by Judge,J.P. Stadtmueller,on 1/18/2017 REVERSING,43,60,line_entry,SPACY JNLP2
wied;;2:16-cv-00823,wied,2016,2:16-cv-00823,0,01/25/2017, ORDER signed by Chief Judge William C Griesbach on 01/25/2017 GRANTING,0,71, ORDER signed by Chief Judge,William C Griesbach,on 01/25/2017 GRANTING,29,48,line_entry,SPACY JNLP2
wied;;2:16-cv-00823,wied,2016,2:16-cv-00823,0,01/25/2017,"This case is referred to Magistrate Judge David E Jones for mediation, the particular procedures for",406,506,This case is referred to Magistrate Judge,David E Jones,"for mediation, the particular procedures for",448,461,line_entry,SPACY JNLP2
wied;;2:16-cv-00944,wied,2016,2:16-cv-00944,2,07/19/2016,assignment of this matter to Magistrate Judge William E Duffin ;Consent/refusal forms for Magistrate,17,117,assignment of this matter to Magistrate Judge,William E Duffin,;Consent/refusal forms for Magistrate,63,79,line_entry,SPACY JNLP2
wied;;2:16-cv-00944,wied,2016,2:16-cv-00944,2,07/19/2016,Consent/refusal forms for Magistrate Judge Duffin to be filed within 21 days;,81,158,Consent/refusal forms for Magistrate Judge,Duffin,to be filed within 21 days;,124,130,line_entry,SPACY JNLP2
wied;;2:16-cv-00944,wied,2016,2:16-cv-00944,10,10/06/2016,the pending motion case reassigned to Judge J P Stadtmueller. Magistrate Judge William E Duffin no,32,130,the pending motion case reassigned to Judge,J P Stadtmueller,. Magistrate Judge William E Duffin no,76,92,line_entry,SPACY JNLP2
wied;;2:16-cv-00944,wied,2016,2:16-cv-00944,10,10/06/2016,Judge J P Stadtmueller. Magistrate Judge William E Duffin no longer assigned to the case.,70,159,Judge J P Stadtmueller. Magistrate Judge,William E Duffin,no longer assigned to the case.,111,127,line_entry,SPACY JNLP2
wied;;2:16-cv-00944,wied,2016,2:16-cv-00944,11,10/19/2016,ORDER signed by Judge J P Stadtmueller on 10/19/16 granting,0,59,ORDER signed by Judge,J P Stadtmueller,on 10/19/16 granting,22,38,line_entry,SPACY JNLP2
wied;;2:16-cv-00944,wied,2016,2:16-cv-00944,15,12/09/2016,ORDER DISMISSING CASE signed by Judge J. P. Stadtmueller on 12/9/2016 GRANTING,0,78,ORDER DISMISSING CASE signed by Judge,J. P. Stadtmueller,on 12/9/2016 GRANTING,38,56,line_entry,SPACY JNLP2
wied;;2:16-cv-00944,wied,2016,2:16-cv-00944,16,12/09/2016,and approved as to form by Judge J. P. Stadtmueller on 12/9/2016 in,40,107,and approved as to form by Judge,J. P. Stadtmueller,on 12/9/2016 in,73,91,line_entry,SPACY JNLP2
