ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
wvnd;;2:16-cv-00101,wvnd,2016,2:16-cv-00101,5,11/28/2016,the complaint. Signed by Magistrate Judge Robert W. Trumble on 11/28/16.,421,493,the complaint. Signed by Magistrate Judge,Robert W. Trumble,on 11/28/16.,463,480,line_entry,SPACY JNLP2
wvnd;;2:16-cv-00101,wvnd,2016,2:16-cv-00101,9,12/07/2016,hereby DENIED. Signed by Magistrate Judge Robert W. Trumble on 12/7/16.,121,192,hereby DENIED. Signed by Magistrate Judge,Robert W. Trumble,on 12/7/16.,163,180,line_entry,SPACY JNLP2
wvnd;;2:16-cv-00101,wvnd,2016,2:16-cv-00101,11,12/14/2016,without prejudice. Signed by Magistrate Judge Robert W. Trumble on 12/14/16.,535,611,without prejudice. Signed by Magistrate Judge,Robert W. Trumble,on 12/14/16.,581,598,line_entry,SPACY JNLP2
wvnd;;2:16-cv-00101,wvnd,2016,2:16-cv-00101,16,02/15/2017,this case. Signed by Magistrate Judge Robert W. Trumble on 2/15/17.,218,285,this case. Signed by Magistrate Judge,Robert W. Trumble,on 2/15/17.,256,273,line_entry,SPACY JNLP2
wvnd;;1:16-cr-00022,wvnd,2016,1:16-cr-00022,2,04/25/2016,"Courtroom, 3rd Floor before Magistrate Judge Michael John Aloi. Signed by Magistrate Judge",138,228,"Courtroom, 3rd Floor before Magistrate Judge",Michael,John Aloi. Signed by Magistrate Judge,183,190,line_entry,SPACY JNLP2
wvnd;;1:16-cr-00022,wvnd,2016,1:16-cr-00022,2,04/25/2016,"John Aloi. Signed by Magistrate Judge Michael John Aloi on April 25, 2016",191,264,John Aloi. Signed by Magistrate Judge,Michael,"John Aloi on April 25, 2016",229,236,line_entry,SPACY JNLP2
wvnd;;1:16-cr-00022,wvnd,2016,1:16-cr-00022,3,04/26/2016,"Courtroom, 3rd Floor before Magistrate Judge Michael John Aloi. Signed by Magistrate Judge",162,252,"Courtroom, 3rd Floor before Magistrate Judge",Michael,John Aloi. Signed by Magistrate Judge,207,214,line_entry,SPACY JNLP2
wvnd;;1:16-cr-00022,wvnd,2016,1:16-cr-00022,3,04/26/2016,"John Aloi. Signed by Magistrate Judge Michael John Aloi on April 26, 2016",215,288,John Aloi. Signed by Magistrate Judge,Michael,"John Aloi on April 26, 2016",253,260,line_entry,SPACY JNLP2
wvnd;;1:16-cr-00022,wvnd,2016,1:16-cr-00022,4,05/02/2016,"Courtroom, 3rd Floor before Magistrate Judge Michael John Aloi. Signed by Magistrate Judge",159,249,"Courtroom, 3rd Floor before Magistrate Judge",Michael,John Aloi. Signed by Magistrate Judge,204,211,line_entry,SPACY JNLP2
wvnd;;1:16-cr-00022,wvnd,2016,1:16-cr-00022,4,05/02/2016,"John Aloi. Signed by Magistrate Judge Michael John Aloi on May 2, 2016",212,282,John Aloi. Signed by Magistrate Judge,Michael,"John Aloi on May 2, 2016",250,257,line_entry,SPACY JNLP2
