ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
wvsd;;2:16-cv-00707,wvsd,2016,2:16-cv-00707,3,08/24/2017,. 2327 Ethicon. Signed by Judge Joseph R. Goodwin on 8/24/2017.,948,1011,. 2327 Ethicon. Signed by Judge,Joseph R. Goodwin,on 8/24/2017.,980,997,line_entry,SPACY JNLP2
wvsd;;2:16-cv-00707,wvsd,2016,2:16-cv-00707,4,10/19/2017,remain in effect. Signed by Judge Joseph R. Goodwin on 10/19/2017.,232,298,remain in effect. Signed by Judge,Joseph R. Goodwin,on 10/19/2017.,266,283,line_entry,SPACY JNLP2
wvsd;;2:16-cv-00707,wvsd,2016,2:16-cv-00707,5,03/30/2018,remain in effect. Signed by Judge Joseph R. Goodwin on 3/16/2018.,232,297,remain in effect. Signed by Judge,Joseph R. Goodwin,on 3/16/2018.,266,283,line_entry,SPACY JNLP2
wvsd;;2:16-cv-00707,wvsd,2016,2:16-cv-00707,6,05/10/2018,set forth herein. Signed by Judge Joseph R. Goodwin on 4/26/2018.,377,442,set forth herein. Signed by Judge,Joseph R. Goodwin,on 4/26/2018.,411,428,line_entry,SPACY JNLP2
wvsd;;2:16-cv-00707,wvsd,2016,2:16-cv-00707,8,08/15/2018,remain in effect. Signed by Judge Joseph R. Goodwin on 8/15/2018.,233,298,remain in effect. Signed by Judge,Joseph R. Goodwin,on 8/15/2018.,267,284,line_entry,SPACY JNLP2
wvsd;;2:16-cv-00707,wvsd,2016,2:16-cv-00707,9,10/09/2018,DENIED AS MOOT. Signed by Judge Joseph R. Goodwin on 10/9/2018.,310,373,DENIED AS MOOT. Signed by Judge,Joseph R. Goodwin,on 10/9/2018.,342,359,line_entry,SPACY JNLP2
wvsd;;2:16-cv-00707,wvsd,2016,2:16-cv-00707,10,11/03/2018,Thomas is associated. Signed by Judge Joseph R. Goodwin on 5/24/2018.,646,715,Thomas is associated. Signed by Judge,Joseph R. Goodwin,on 5/24/2018.,684,701,line_entry,SPACY JNLP2
wvsd;;2:16-cv-09209,wvsd,2016,2:16-cv-09209,7,01/30/2018,set forth herein. Signed by Judge Joseph R. Goodwin on 1/30/2018.,1893,1958,set forth herein. Signed by Judge,Joseph R. Goodwin,on 1/30/2018.,1927,1944,line_entry,SPACY JNLP2
wvsd;;2:16-cv-09209,wvsd,2016,2:16-cv-09209,10,06/13/2018,01/2018. Signed by Judge Joseph R. Goodwin on 6/13/2018.,1321,1377,01/2018. Signed by Judge,Joseph R. Goodwin,on 6/13/2018.,1346,1363,line_entry,SPACY JNLP2
wvsd;;2:16-cv-09209,wvsd,2016,2:16-cv-09209,11,07/20/2018,. 2326 Boston. Signed by Judge Joseph R. Goodwin on 7/20/2018.,982,1044,. 2326 Boston. Signed by Judge,Joseph R. Goodwin,on 7/20/2018.,1013,1030,line_entry,SPACY JNLP2
wvsd;;2:16-cv-09209,wvsd,2016,2:16-cv-09209,12,08/15/2018,remain in effect. Signed by Judge Joseph R. Goodwin on 8/15/2018.,233,298,remain in effect. Signed by Judge,Joseph R. Goodwin,on 8/15/2018.,267,284,line_entry,SPACY JNLP2
wvsd;;2:16-cv-09209,wvsd,2016,2:16-cv-09209,14,10/24/2018,of this court. Signed by Judge Joseph R. Goodwin on 10/24/2018.,153,216,of this court. Signed by Judge,Joseph R. Goodwin,on 10/24/2018.,184,201,line_entry,SPACY JNLP2
wvsd;;2:16-cv-09209,wvsd,2016,2:16-cv-09209,15,10/24/2018,of this court. Signed by Judge Joseph R. Goodwin on 10/24/2018.,168,231,of this court. Signed by Judge,Joseph R. Goodwin,on 10/24/2018.,199,216,line_entry,SPACY JNLP2
wvsd;;2:16-cv-10058,wvsd,2016,2:16-cv-10058,5,12/07/2017,. 2327 Ethicon. Signed by Judge Joseph R. Goodwin on 12/7/2017.,947,1010,. 2327 Ethicon. Signed by Judge,Joseph R. Goodwin,on 12/7/2017.,979,996,line_entry,SPACY JNLP2
wvsd;;2:16-cv-10058,wvsd,2016,2:16-cv-10058,6,03/30/2018,remain in effect. Signed by Judge Joseph R. Goodwin on 3/16/2018.,232,297,remain in effect. Signed by Judge,Joseph R. Goodwin,on 3/16/2018.,266,283,line_entry,SPACY JNLP2
wvsd;;2:16-cv-10058,wvsd,2016,2:16-cv-10058,7,05/10/2018,set forth herein. Signed by Judge Joseph R. Goodwin on 4/26/2018.,377,442,set forth herein. Signed by Judge,Joseph R. Goodwin,on 4/26/2018.,411,428,line_entry,SPACY JNLP2
wvsd;;2:16-cv-10058,wvsd,2016,2:16-cv-10058,8,08/15/2018,remain in effect. Signed by Judge Joseph R. Goodwin on 8/15/2018.,233,298,remain in effect. Signed by Judge,Joseph R. Goodwin,on 8/15/2018.,267,284,line_entry,SPACY JNLP2
wvsd;;2:16-cv-10058,wvsd,2016,2:16-cv-10058,9,11/07/2018,Thomas is associated. Signed by Judge Joseph R. Goodwin on 5/24/2018.,646,715,Thomas is associated. Signed by Judge,Joseph R. Goodwin,on 5/24/2018.,684,701,line_entry,SPACY JNLP2
wvsd;;2:16-cv-10058,wvsd,2016,2:16-cv-10058,10,02/04/2019,15/2019. Signed by Judge Joseph R. Goodwin on 2/4/2019.,2476,2531,15/2019. Signed by Judge,Joseph R. Goodwin,on 2/4/2019.,2501,2518,line_entry,SPACY JNLP2
wvsd;;2:16-cv-10058,wvsd,2016,2:16-cv-10058,11,05/20/2019,DENIED AS MOOT. Signed by Judge Joseph R. Goodwin on 5/20/2019.,451,514,DENIED AS MOOT. Signed by Judge,Joseph R. Goodwin,on 5/20/2019.,483,500,line_entry,SPACY JNLP2
