case_id,court,judge,grant
3-16-cv-00023,vid,1658,0
1-16-cv-00056,vid,1581,1
1-16-cv-00053,vid,1759,0
1-16-cv-00067,vid,1581,1
1-16-cv-00033,vid,1581,0
1-16-cv-00074,vid,1581,1
1-16-cv-00013,vid,1581,1
1-16-cv-03115,nyed,1307,1
1-16-cv-02872,nyed,98,0
1-16-cv-05650,nyed,683,1
2-16-cv-04627,nyed,512,1
2-16-cv-03965,nyed,903,1
1-16-cv-01831,nyed,98,1
1-16-cv-06231,nyed,979,1
1-16-cv-06527,nyed,1307,1
2-16-cv-05273,nyed,903,0
1-16-cv-05129,nyed,155,1
2-16-cv-06310,nyed,980,0
2-16-cv-02633,nyed,903,0
2-16-cv-06495,nyed,980,0
1-16-cv-06381,nyed,720,1
1-16-cv-06613,nyed,982,1
2-16-cv-05752,nyed,980,0
1-16-cv-02214,nyed,683,1
1-16-cv-05805,nyed,1307,1
1-16-cv-04307,nyed,98,1
1-16-cv-05740,nyed,979,0
1-16-cv-05395,nyed,982,1
1-16-cv-05265,nyed,1307,1
2-16-cv-05747,nyed,980,0
1-16-cv-02513,nyed,1307,0
2-16-cv-01896,nyed,903,1
1-16-cv-05954,nyed,1539,1
2-16-cv-05485,nyed,980,1
1-16-cv-05457,nyed,1510,0
1-16-cv-00405,nyed,879,0
2-16-cv-06316,nyed,980,1
2-16-cv-04876,nyed,903,1
1-16-cv-07204,nyed,683,1
2-16-cv-06311,nyed,980,0
2-16-cv-06008,nyed,903,1
2-16-cv-01998,nyed,903,1
2-16-cv-06226,nyed,980,0
2-16-cv-02468,nyed,980,0
1-16-cv-07080,nyed,612,1
2-16-cv-05896,nyed,980,1
2-16-cv-05123,nyed,903,0
1-16-cr-00649,nyed,1761,0
1-16-cv-04242,nyed,982,1
1-16-cv-06615,nyed,612,1
2-16-cv-05484,nyed,980,1
1-16-cv-02409,nyed,612,1
2-16-cv-04548,nyed,903,1
1-16-cv-06652,nyed,979,0
1-16-cv-00710,nyed,979,1
2-16-cv-01487,nyed,903,1
2-16-cv-03328,nyed,903,1
2-16-cv-03663,nyed,980,1
2-16-cv-05753,nyed,980,0
1-16-cv-06756,nyed,979,0
1-16-cv-06954,nyed,1539,0
1-16-cv-06872,nyed,879,0
2-16-cv-05989,nyed,903,1
2-16-cv-05801,nyed,903,1
2-16-cv-01427,nyed,980,1
2-16-cv-00462,nyed,903,0
2-16-cv-04835,nyed,980,1
1-16-cv-05009,nyed,1307,0
2-16-cv-01744,nyed,980,0
1-16-cv-01801,nyed,1510,1
2-16-cv-03385,nyed,903,1
1-16-cv-05114,nyed,595,1
2-16-cv-04875,nyed,903,1
1-16-cv-05972,nyed,982,0
2-16-cv-06298,nyed,903,1
1-16-cv-03800,nyed,982,1
1-16-cv-03069,nyed,1715,1
1-16-cv-07109,nyed,683,1
1-16-cv-06257,nyed,1307,1
1-16-cv-03168,nyed,1544,1
2-16-cv-05991,nyed,980,0
2-16-cv-01810,nyed,903,0
1-16-cv-04243,nyed,1510,1
2-16-cv-04929,nyed,980,1
2-16-cv-04267,nyed,980,0
2-16-cr-00412,nyed,903,1
1-16-cv-05487,nyed,612,1
1-16-cv-03274,nyed,1539,0
1-16-cv-06336,nyed,1510,1
2-16-cv-02536,nyed,903,1
2-16-cv-03910,nyed,903,1
2-16-cv-03665,nyed,903,1
2-16-cv-02378,nyed,903,1
1-16-cv-04601,nyed,683,1
2-16-cv-01035,nyed,903,1
1-16-cv-07002,nyed,683,0
1-16-cv-06758,nyed,98,1
1-16-cv-03191,nyed,1715,0
1-16-cv-02497,nyed,612,0
1-16-cv-04239,nyed,155,1
1-16-cv-04249,nyed,982,1
1-16-cv-04762,nyed,1701,1
1-16-cv-03252,nyed,720,1
2-16-cv-04653,nyed,980,1
1-16-cv-02922,nyed,595,1
2-16-cv-04988,nyed,980,0
2-16-cv-06027,nyed,903,0
1-16-cv-04778,nyed,1510,0
2-16-cv-02973,nyed,980,1
1-16-cv-01833,nyed,155,1
1-16-cv-06583,nyed,1510,1
2-16-cv-06728,nyed,980,0
1-16-cv-04609,nyed,155,1
2-16-cv-03911,nyed,903,1
2-16-cv-03664,nyed,903,1
2-16-cv-02556,nyed,903,0
2-16-cv-01366,nyed,980,0
1-16-cv-01469,nyed,1307,0
1-16-cv-06757,nyed,879,1
2-16-cv-00983,nyed,903,0
1-16-cr-00161,nyed,982,1
1-16-cv-00267,nyed,879,1
1-16-cv-02683,nyed,720,0
1-16-cv-04099,nyed,98,0
1-16-cv-02411,nyed,1571,1
2-16-cv-04645,nyed,903,0
1-16-cv-05207,nyed,879,0
1-16-cv-07205,nyed,979,1
1-16-cv-07150,nyed,1510,1
1-16-cv-02204,nyed,612,0
1-16-cv-01081,nyed,612,0
1-16-cv-02056,nyed,1510,1
2-16-cv-06812,nyed,980,0
2-16-cv-02187,nyed,903,1
2-16-cv-05990,nyed,980,0
2-16-cv-04928,nyed,980,1
2-16-cv-02380,nyed,980,0
2-16-cv-06784,nyed,980,0
1-16-cv-01829,nyed,98,1
1-16-cv-06874,nyed,1571,1
1-16-cv-04523,nyed,720,1
2-16-cv-06788,nyed,980,1
1-16-cv-01503,nyed,979,1
2-16-cv-01047,nyed,683,1
2-16-cv-02507,nyed,980,1
1-16-cv-05970,nyed,1510,1
1-16-cv-04605,nyed,683,1
2-16-cv-04128,nyed,903,0
1-16-cv-05720,nyed,1510,1
1-16-cv-00141,nyed,1701,1
1-16-cv-03218,nyed,979,1
1-16-cv-05003,nyed,595,1
1-16-cv-05322,nyed,979,0
1-16-cv-07156,nyed,595,0
1-16-cv-00869,nyed,783,1
2-16-cv-05992,nyed,980,0
1-16-cv-02684,nyed,1715,1
2-16-cv-06967,nyed,980,0
1-16-cv-04046,nyed,1307,1
2-16-cv-05995,nyed,980,0
1-16-cv-02616,nyed,982,1
1-16-cv-06994,nyed,612,1
2-16-cv-01348,nyed,980,0
1-16-cv-03501,nyed,1307,1
1-16-cv-02875,nyed,1544,1
1-16-cv-00503,nyed,1510,1
1-16-cv-02372,nyed,595,1
1-16-cv-06342,nyed,98,1
2-16-cv-04129,nyed,980,1
2-16-cv-00460,nyed,903,0
2-16-cv-01869,nyed,307,0
2-16-cv-04403,nyed,903,1
2-16-cv-05417,nyed,903,1
1-16-cv-04606,nyed,1544,1
1-16-cv-00291,nyed,595,0
1-16-cv-00073,nyed,1715,0
1-16-cv-05975,nyed,595,1
2-16-cv-05994,nyed,980,0
1-16-cv-05113,nyed,1307,1
1-16-cv-03942,nyed,1307,0
1-16-cv-01220,nyed,982,1
2-16-cv-05993,nyed,980,0
1-16-cv-05490,nyed,982,1
1-16-cv-05716,nyed,979,0
1-16-cv-04664,nyed,98,1
1-16-cv-06273,nyed,155,1
2-16-cv-00647,nyed,980,1
2-16-cv-06828,nyed,903,1
1-16-cv-04884,nyed,612,1
2-16-cv-04039,nyed,903,1
2-16-cv-03773,nyed,980,0
1-16-cv-07159,nyed,720,1
1-16-cv-05082,nyed,1351,1
1-16-cv-05189,nyed,683,0
2-16-cv-03930,nyed,307,1
2-16-cv-02290,nyed,980,1
2-16-cv-00119,nyed,903,1
1-16-cv-05928,nyed,1510,1
1-16-cv-03935,nyed,720,1
1-16-cv-01373,nyed,982,0
2-16-cv-01278,nyed,980,0
2-16-cv-03050,nyed,980,0
1-16-cv-02602,nyed,683,0
2-16-cv-03521,nyed,903,1
2-16-cv-05486,nyed,980,1
2-16-cv-04639,nyed,903,1
1-16-cv-02241,nyed,982,1
2-16-cv-01935,nyed,1780,0
1-16-cv-07111,nyed,683,0
1-16-cr-00377,nyed,879,1
2-16-cv-05510,nyed,980,1
1-16-cv-07003,nyed,683,0
1-16-cv-05324,nyed,98,1
1-16-cv-00964,nyed,1715,1
2-16-cv-02192,nyed,512,1
2-16-cv-04986,nyed,980,1
1-16-cv-03415,nyed,979,1
1-16-cv-03080,nyed,595,1
